ID,FIELD,YLD03,ELE,SLOPE,CURV,PRO,PLAN,EC_SH,EC_DP,BAND1,BAND2,BAND3,BAND4,VI03_505,VI03_529,VI03_606,VI03_622,VI03_724,VI03_825,VI03_926
3110,C29,1292,1080.03,0.1323,-0.002725,0.001043,-0.001681,22.5,38.9000015,94,84,111,74,-0.059459459,-0.23255814,-0.157894737,-0.165644172,0.043956044,0.202797203,0.210191083
3111,C29,1230,1080.07,0.1908,-0.007868,0.004087,-0.003781,20.7000008,38.4000015,94,82,107,75,-0.043956044,-0.2265625,-0.163841808,-0.161290323,0.027932961,0.177304965,0.190184049
3112,C29,1105,1080.14,0.1583,0.004237,-0.007815,-0.003578,19.6000004,38.5,90,85,107,76,-0.038674033,-0.231939163,-0.162011173,-0.163636364,0.049723757,0.169014085,0.125748503
3113,C29,1146,1080.19,0.0862,0.007999,-0.005299,0.0027,20,40.4000015,90,86,112,76,-0.043956044,-0.223076923,-0.168539326,-0.161676647,0.06741573,0.15862069,0.1375
3114,C29,1121,1080.2,0.0841,0.012371,-0.009398,0.002972,21.2000008,40.0999985,90,85,111,76,-0.038251366,-0.22605364,-0.177777778,-0.161676647,0.033707865,0.150684932,0.194968553
3115,C29,1096,1080.23,0.1065,0.008273,-0.002672,0.005601,20.8999996,38.9000015,94,88,116,81,-0.032967033,-0.231939163,-0.175824176,-0.167630058,0.033707865,0.112582781,0.111111111
3116,C29,1000,1080.28,0.148,0.006866,-0.000471,0.006396,19.7999992,36.4000015,94,85,121,81,-0.047619048,-0.22962963,-0.169398907,-0.180327869,0.043956044,0.093333333,0.057471264
3117,C29,960,1080.36,0.1533,0.005698,-0.001498,0.004201,18.3999996,35.5999985,90,85,121,82,-0.056994819,-0.236363636,-0.175824176,-0.177777778,0.037837838,0.094594595,0.051428571
3118,C29,969,1080.42,0.0889,0.00436,-0.004551,-0.000192,17.7999992,34.7999992,90,84,123,83,-0.056994819,-0.225092251,-0.177777778,-0.173913043,0.027027027,0.125827815,0.069767442
3119,C29,1120,1080.45,0.0681,-0.002718,0.001724,-0.000994,15.8999996,30.2000008,88,86,120,84,-0.051546392,-0.231343284,-0.171270718,-0.173913043,0.016574586,0.124183007,0.076923077
3120,C29,1180,1080.48,0.1188,-0.007084,0.006619,-0.000465,15.3999996,28.8999996,92,87,124,84,-0.051546392,-0.239852399,-0.164835165,-0.1875,0.016574586,0.112582781,0.064327485
3121,C29,1138,1080.56,0.2456,-0.010288,0.005975,-0.004312,13.8000002,28.1000004,96,92,132,88,-0.069306931,-0.241877256,-0.176470588,-0.183673469,-0.005405405,0.118421053,0.051428571
3122,C29,1082,1080.66,0.1641,0.008801,-0.003472,0.005329,12.5,30.7999992,94,92,139,87,-0.09178744,-0.245551601,-0.182795699,-0.185929648,0,0.098039216,0.068181818
3123,C29,1041,1080.68,0.1087,-0.002337,0.00294,0.000604,13.3999996,30.2999992,90,88,135,89,-0.097087379,-0.237410072,-0.182795699,-0.184079602,0.005405405,0.064935065,0.043956044
3147,C29,1131,1080.02,0.1013,-0.007349,0.002136,-0.005213,23.7000008,39.2999992,96,85,107,76,-0.037037037,-0.21969697,-0.168539326,-0.165644172,0.049180328,0.134751773,0.069767442
3148,C29,1195,1080.06,0.1186,-0.003597,0.004722,0.001125,22.3999996,39.9000015,96,85,115,76,-0.053763441,-0.227272727,-0.163841808,-0.150326797,0.027932961,0.188811189,0.064327485
3149,C29,1096,1080.1,0.1859,-0.000747,0.000297,-0.000451,21.5,41.5999985,92,82,114,76,-0.065217391,-0.224334601,-0.172413793,-0.165562914,0.027932961,0.213793103,0.109756098
3150,C29,1176,1080.15,0.1308,0.018392,-0.014144,0.004249,21.8999996,41.5999985,92,83,111,76,-0.054347826,-0.2265625,-0.165714286,-0.157232704,-0.005649718,0.183098592,0.160493827
3151,C29,1174,1080.17,0.0693,0.010526,-0.007349,0.003176,21.7000008,42.2000008,90,85,108,76,-0.054347826,-0.23255814,-0.170454545,-0.170731707,0.033707865,0.177304965,0.144578313
3152,C29,1140,1080.18,0.0833,0.000136,3.20E-05,0.000168,22.1000004,39.7000008,88,88,111,76,-0.054347826,-0.234848485,-0.168539326,-0.161676647,0.039106145,0.166666667,0.148148148
3153,C29,1168,1080.18,0.0869,-0.0071,0.002694,-0.004406,22.1000004,38.5,88,83,112,76,-0.054347826,-0.230769231,-0.175141243,-0.170454545,0.033707865,0.150684932,0.148148148
3154,C29,1056,1080.22,0.1077,-0.010177,0.001718,-0.008459,19,35.4000015,90,84,115,79,-0.048648649,-0.227272727,-0.175141243,-0.180851064,0.010989011,0.140939597,0.076923077
3155,C29,1085,1080.28,0.1313,-0.007271,0.002387,-0.004884,18.2999992,32.7999992,88,85,111,80,-0.057591623,-0.22962963,-0.164835165,-0.18134715,0.005405405,0.121621622,0.075144509
3156,C29,1021,1080.35,0.1614,-0.002534,0.001042,-0.001492,18.7999992,32.9000015,88,85,119,82,-0.052083333,-0.226765799,-0.171270718,-0.173913043,0.032608696,0.099337748,0.068181818
3157,C29,994,1080.43,0.1236,0.00464,-0.003577,0.001063,19.2999992,33.7000008,92,87,123,82,-0.06122449,-0.236363636,-0.177777778,-0.178947368,0.005405405,0.125827815,0.093023256
3158,C29,1090,1080.48,0.1175,0.001717,0.003127,0.004844,16.2999992,31.3999996,92,84,121,84,-0.065989848,-0.240875912,-0.175824176,-0.183673469,0,0.116883117,0.075144509
3159,C29,1016,1080.54,0.1838,-0.000888,0.003221,0.002334,15.3000002,29.2000008,90,90,125,85,-0.069306931,-0.240875912,-0.178378378,-0.19,0,0.103896104,0.075144509
3160,C29,1002,1080.63,0.2638,0.001376,-0.000278,0.001098,14,28.1000004,94,93,131,88,-0.073170732,-0.239130435,-0.178378378,-0.19,0.005347594,0.099337748,0.04494382
3161,C29,1126,1080.73,0.1602,0.019245,-0.008423,0.010822,14,25.7000008,94,93,140,88,-0.097087379,-0.242857143,-0.172043011,-0.196078431,-0.005291005,0.092105263,0.027932961
3162,C29,1042,1080.73,0.0987,0.002371,-0.000956,0.001415,14.6999998,30.2999992,92,92,135,88,-0.104761905,-0.235714286,-0.178378378,-0.196172249,0.010638298,0.051282051,0.038674033
3163,C29,841,1080.71,0.1015,0.014823,-0.003769,0.011054,13.1000004,29.6000004,96,93,139,91,-0.104761905,-0.240143369,-0.183246073,-0.2,-0.005235602,0.031446541,0.005291005
3187,C29,1067,1080.07,0.1851,-0.003937,0.004221,0.000284,23.7000008,40.5999985,92,85,111,76,-0.042553191,-0.237037037,-0.165714286,-0.164556962,0.049180328,0.154929577,0.064327485
3188,C29,1041,1080.12,0.1539,0.010562,-0.008498,0.002064,22.5,40.4000015,90,89,111,78,-0.068783069,-0.224334601,-0.170454545,-0.161290323,0,0.146853147,0.096385542
3189,C29,1138,1080.14,0.0716,0.011499,-0.008518,0.002981,23.2999992,43.5999985,94,85,107,76,-0.080213904,-0.224806202,-0.172413793,-0.171052632,-0.005649718,0.213793103,0.139393939
3190,C29,1070,1080.14,0.0902,-0.002253,-0.001272,-0.003525,24,41.2999992,92,85,111,74,-0.074468085,-0.224806202,-0.154761905,-0.157232704,0.02247191,0.183098592,0.130952381
3191,C29,1026,1080.15,0.0811,-0.009251,0.002281,-0.00697,23.1000004,37.7000008,92,84,110,76,-0.059459459,-0.230769231,-0.172413793,-0.176470588,0.032608696,0.166666667,0.139393939
3192,C29,1125,1080.17,0.0582,-0.004959,0.005275,0.000316,21.8999996,39,90,84,112,76,-0.043956044,-0.234848485,-0.170454545,-0.162790698,0.043956044,0.166666667,0.158536585
3193,C29,1163,1080.19,0.0927,-0.010014,0.005935,-0.004079,18.5,35.5999985,90,84,116,77,-0.053763441,-0.227272727,-0.175141243,-0.175141243,0.038674033,0.156462585,0.093023256
3194,C29,1020,1080.23,0.135,-0.00627,0.003166,-0.003104,17.3999996,33.7999992,88,85,115,78,-0.063157895,-0.235294118,-0.171270718,-0.182795699,0.043010753,0.112582781,0.087719298
3195,C29,1048,1080.29,0.1479,-0.009019,0.004583,-0.004436,17.2999992,31,86,85,117,81,-0.0625,-0.226765799,-0.164835165,-0.18134715,0.037433155,0.146666667,0.08045977
3196,C29,1056,1080.36,0.1714,-0.00875,0.000992,-0.007758,17.3999996,31.2999992,88,87,121,81,-0.076923077,-0.230769231,-0.164835165,-0.178947368,0.021276596,0.111111111,0.068181818
3197,C29,986,1080.43,0.1418,-0.003215,-0.00152,-0.004735,16.2999992,30.1000004,92,90,126,80,-0.071428571,-0.233576642,-0.171270718,-0.18556701,0,0.090909091,0.08045977
3198,C29,1029,1080.5,0.1484,-0.006032,0.002762,-0.00327,15,28.2000008,88,88,125,83,-0.060606061,-0.230769231,-0.184782609,-0.177664975,0,0.111111111,0.056818182
3199,C29,978,1080.58,0.1938,0.001267,0.001152,0.002419,14.6999998,28.6000004,92,94,130,86,-0.069306931,-0.247311828,-0.182795699,-0.195979899,0,0.105263158,0.038674033
3200,C29,932,1080.68,0.2045,0.006151,-0.003286,0.002865,14.1999998,28.7000008,94,94,134,90,-0.06,-0.244604317,-0.169398907,-0.19,-0.016042781,0.099337748,0.027624309
3201,C29,955,1080.76,0.0935,0.020708,-0.008569,0.012139,13.8999996,25.8999996,98,94,133,86,-0.055276382,-0.239130435,-0.178378378,-0.19,-0.010638298,0.099337748,0.022222222
3202,C29,1075,1080.75,0.0991,0.014639,-0.007146,0.007493,15,26,92,94,131,88,-0.068627451,-0.241134752,-0.178378378,-0.184079602,-0.010526316,0.078947368,-0.020618557
3203,C29,780,1080.69,0.1963,0.005736,-0.006734,-0.000998,14.8999996,30.7999992,96,93,146,95,-0.11627907,-0.249122807,-0.191709845,-0.190243902,-0.025906736,0.032679739,-0.035532995
3204,C29,885,1080.58,0.2843,0.009215,-0.006397,0.002818,13.8000002,27,94,96,139,93,-0.107981221,-0.240418118,-0.18974359,-0.205741627,0,0.070967742,-0.061032864
3230,C29,1053,1080.14,0.1898,0.018093,-0.009934,0.008158,23.3999996,40,94,85,107,78,-0.042553191,-0.235955056,-0.165714286,-0.155844156,0.027932961,0.128571429,0.057471264
3231,C29,994,1080.16,0.074,0.011512,-0.007553,0.00396,22.7999992,38.0999985,96,85,111,76,-0.063157895,-0.231939163,-0.156069364,-0.172839506,0,0.169014085,0.052023121
3232,C29,1166,1080.12,0.0855,-0.011693,0.005711,-0.005982,23.1000004,38.4000015,94,85,112,76,-0.059459459,-0.227799228,-0.154761905,-0.171974522,-0.021978022,0.180555556,0.139393939
3233,C29,1163,1080.12,0.0679,-0.006403,0.004202,-0.002201,21.8999996,36.4000015,88,82,112,76,-0.055555556,-0.23255814,-0.162790698,-0.153846154,-0.005586592,0.197183099,0.158536585
3234,C29,1057,1080.16,0.11,-0.003659,0.004402,0.000743,22,37.7000008,94,82,108,76,-0.071038251,-0.230769231,-0.163841808,-0.169590643,0.054347826,0.166666667,0.117647059
3235,C29,995,1080.2,0.1277,-0.004346,0.005308,0.000961,21.2999992,38.7999992,92,85,115,78,-0.074468085,-0.22556391,-0.170454545,-0.16091954,0.037433155,0.152777778,0.153374233
3236,C29,1040,1080.24,0.1675,-0.003441,0.001969,-0.001472,21.3999996,39.7999992,88,89,115,80,-0.053763441,-0.227272727,-0.184357542,-0.175141243,0.015544041,0.129251701,0.158536585
3237,C29,926,1080.3,0.1891,0.00579,-0.001842,0.003949,20.7000008,36.0999985,90,85,115,81,-0.073684211,-0.21641791,-0.157303371,-0.167567568,0.03125,0.112582781,0.073446328
3238,C29,814,1080.36,0.2106,-0.000171,0.000915,0.000744,21.2000008,35.7999992,92,84,129,83,-0.092783505,-0.233576642,-0.162011173,-0.172774869,0.010309278,0.105263158,0.027624309
3239,C29,815,1080.43,0.2101,-0.000722,0.000162,-0.00056,20.8999996,33.2000008,90,87,124,81,-0.101010101,-0.239130435,-0.169398907,-0.18134715,0.010638298,0.083870968,0.016393443
3240,C29,908,1080.48,0.1675,-0.001074,-0.000945,-0.002019,18.2000008,32.5,88,87,125,82,-0.076923077,-0.227941176,-0.178378378,-0.179487179,0.010416667,0.103896104,0.068181818
3241,C29,982,1080.54,0.1652,-0.006676,0.001455,-0.005221,15.8000002,30.1000004,88,86,130,81,-0.06122449,-0.239130435,-0.182795699,-0.177664975,0.005235602,0.090909091,0.062146893
3242,C29,941,1080.62,0.1753,0.006088,-0.003057,0.003031,14.8000002,27.7000008,94,90,128,84,-0.065326633,-0.238434164,-0.172043011,-0.183673469,0.005347594,0.105263158,0.038674033
3243,C29,947,1080.69,0.1192,0.010858,-0.002986,0.007872,15.1999998,27.2999992,88,91,133,88,-0.074626866,-0.226277372,-0.178378378,-0.197969543,0,0.099337748,0.056818182
3244,C29,990,1080.72,0.1012,0.005045,0.000395,0.00544,13.8000002,26.2999992,92,89,131,87,-0.065326633,-0.244604317,-0.191489362,-0.183673469,-0.016042781,0.092105263,0.051428571
3245,C29,966,1080.7,0.1268,0.006376,-0.002294,0.004082,13.3999996,25.1000004,90,89,134,88,-0.074626866,-0.242857143,-0.176470588,-0.183673469,0,0.099337748,-0.005291005
3246,C29,1080,1080.64,0.2106,0.003036,-0.003459,-0.000423,14.8999996,25.6000004,90,93,140,89,-0.082125604,-0.246478873,-0.183246073,-0.19,0,0.064935065,-0.025380711
3247,C29,878,1080.52,0.2824,0.008515,-0.007757,0.000758,14.3999996,33.7000008,92,93,139,88,-0.092682927,-0.244755245,-0.18974359,-0.198019802,0,0.064935065,-0.025125628
3248,C29,944,1080.35,0.4306,0.009622,-0.006315,0.003307,14,25.8999996,90,92,138,91,-0.119617225,-0.246478873,-0.204081633,-0.192488263,-0.005405405,0.070063694,-0.066037736
3275,C29,1132,1080.16,0.088,0.018324,-0.011909,0.006415,23.8999996,39.4000015,94,85,106,76,-0.048128342,-0.231939163,-0.165714286,-0.164556962,-0.005586592,0.134751773,0.117647059
3276,C29,855,1080.15,0.0489,-0.003219,0.002007,-0.001212,22.3999996,36.5999985,98,85,110,76,-0.053191489,-0.231343284,-0.170454545,-0.170731707,0,0.169014085,0.056818182
3277,C29,1071,1080.14,0.057,-0.001853,-0.000712,-0.002565,19.1000004,35,92,85,115,78,-0.032967033,-0.224334601,-0.165714286,-0.172839506,0,0.191780822,0.118012422
3278,C29,1063,1080.14,0.0927,-0.010884,0.008005,-0.002879,22.5,43,90,85,115,78,-0.055555556,-0.227799228,-0.156069364,-0.163398693,-0.027624309,0.180555556,0.180124224
3279,C29,1036,1080.2,0.1847,-0.000627,0.001539,0.000912,22.2000008,40.5999985,88,85,116,78,-0.043956044,-0.237735849,-0.163841808,-0.158536585,0.049180328,0.146853147,0.130952381
3280,C29,998,1080.27,0.1245,0.016558,-0.009734,0.006824,19.6000004,36.0999985,88,85,117,79,-0.049723757,-0.226765799,-0.175141243,-0.184357542,0.047619048,0.134751773,0.101796407
3281,C29,1015,1080.29,0.084,0.000409,-0.001316,-0.000907,20.7999992,36.2999992,88,84,115,80,-0.064516129,-0.230188679,-0.168539326,-0.171270718,0.042553191,0.108108108,0.111111111
3282,C29,919,1080.34,0.1378,-0.002539,0.003824,0.001284,20.1000004,34,92,87,120,82,-0.073684211,-0.22556391,-0.168539326,-0.170212766,0.031578947,0.086092715,0.06741573
3283,C29,825,1080.42,0.1674,0.005504,-2.70E-05,0.005477,19.6000004,32.7000008,92,87,126,84,-0.092783505,-0.230769231,-0.184782609,-0.175257732,0.010309278,0.08496732,0.027624309
3284,C29,837,1080.5,0.1616,0.015974,-0.004098,0.011876,18.2999992,32.7999992,92,85,124,83,-0.076923077,-0.241877256,-0.178378378,-0.179487179,0.010416667,0.098039216,0.016393443
3285,C29,830,1080.56,0.1411,0.013896,-0.003913,0.009983,17.3999996,31.1000004,92,84,120,85,-0.081632653,-0.233576642,-0.178378378,-0.185929648,0.010416667,0.092105263,0.027624309
3286,C29,814,1080.59,0.117,0.002611,-0.004467,-0.001857,16.7000008,29,90,87,129,85,-0.070707071,-0.244604317,-0.182795699,-0.177664975,0.021052632,0.08496732,0.032967033
3287,C29,974,1080.63,0.0995,-0.003801,-0.000411,-0.004212,15.6000004,28.7000008,94,89,127,84,-0.046153846,-0.244604317,-0.182795699,-0.185929648,-0.010638298,0.111111111,0.05027933
3288,C29,856,1080.67,0.0854,0.002217,0.000559,0.002776,14.8999996,26.8999996,88,86,125,82,-0.041237113,-0.237410072,-0.178378378,-0.18556701,0,0.12987013,0.033333333
3289,C29,937,1080.68,0.0771,0.002275,-0.001383,0.000893,15.5,26,92,91,131,87,-0.060606061,-0.239130435,-0.178378378,-0.178947368,0,0.099337748,0.010752688
3290,C29,934,1080.67,0.1029,0.008965,-0.004803,0.004161,14.8000002,25.5,90,90,132,87,-0.076142132,-0.241877256,-0.189473684,-0.191709845,0,0.08496732,0.038251366
3291,C29,1029,1080.59,0.2261,0.010477,-0.009085,0.001392,15.3000002,25,90,85,128,84,-0.073891626,-0.239130435,-0.183246073,-0.19,0,0.099337748,-0.021052632
3292,C29,1030,1080.45,0.3386,0.000572,-0.003673,-0.003101,15.3999996,36,92,95,131,86,-0.079207921,-0.238434164,-0.178947368,-0.191919192,0,0.111111111,-0.005347594
3293,C29,1043,1080.28,0.3812,0.007384,-0.003233,0.004151,14.1000004,34.7000008,88,93,125,87,-0.084577114,-0.239130435,-0.189473684,-0.201970443,0.021978022,0.037974684,0.016042781
3321,C29,1274,1080.13,0.1609,0.017956,-0.015608,0.002348,24.1000004,39.2000008,92,82,106,78,-0.053763441,-0.233716475,-0.162790698,-0.168674699,0.045977011,0.112676056,0.106918239
3322,C29,953,1080.15,0.051,-0.005683,0.002659,-0.003025,24.8999996,38.2000008,96,84,113,76,-0.058823529,-0.216730038,-0.162790698,-0.168674699,0,0.114285714,0.11627907
3323,C29,941,1080.16,0.0433,0.002003,0.000321,0.002324,22.3999996,35.7999992,94,85,115,77,-0.043010753,-0.230188679,-0.168539326,-0.16091954,0.016393443,0.103448276,0.05027933
3324,C29,921,1080.16,0.0715,-0.007053,0.00317,-0.003883,21.1000004,40.2999992,92,85,116,82,-0.032967033,-0.22556391,-0.168539326,-0.177142857,0.032258065,0.180555556,0.109756098
3325,C29,982,1080.19,0.1383,-0.00015,-0.001625,-0.001775,22.1000004,40,90,86,117,79,-0.044444444,-0.224334601,-0.170454545,-0.171974522,0.010752688,0.180555556,0.101796407
3326,C29,1082,1080.23,0.099,0.005995,-0.00025,0.005745,21,38.5999985,90,85,113,77,-0.044444444,-0.240601504,-0.175141243,-0.155279503,0.016393443,0.14084507,0.130952381
3327,C29,869,1080.26,0.1083,0.001117,-0.002683,-0.001566,20.5,35,86,84,117,79,-0.071038251,-0.231939163,-0.175141243,-0.177142857,0.042553191,0.106382979,0.101796407
3328,C29,853,1080.3,0.1063,-0.007707,0.00792,0.000213,19.6000004,34.7999992,86,84,115,79,-0.080213904,-0.242647059,-0.182320442,-0.169398907,0.052631579,0.04,0.087719298
3329,C29,811,1080.36,0.1367,0.00455,-0.001162,0.003388,18.6000004,33.5999985,90,87,119,80,-0.09375,-0.232472325,-0.169398907,-0.169230769,0.051546392,0.08496732,0.056818182
3330,C29,767,1080.43,0.1151,0.005387,-0.001413,0.003974,18.2999992,31.1000004,90,90,120,80,-0.092783505,-0.233576642,-0.169398907,-0.173469388,0.030612245,0.070967742,0.016393443
3331,C29,669,1080.49,0.1345,-0.000109,0.004094,0.003985,17.5,30.7999992,92,86,123,83,-0.092783505,-0.241877256,-0.184782609,-0.185929648,0,0.070967742,0.005291005
3332,C29,770,1080.55,0.1801,0.006648,-0.00276,0.003888,17.7999992,31.1000004,92,84,116,83,-0.12,-0.241877256,-0.169398907,-0.18627451,0.015544041,0.070967742,0.043956044
3333,C29,870,1080.61,0.1227,0.020763,-0.012715,0.008048,16.6000004,30.5,88,89,122,84,-0.065989848,-0.244604317,-0.172043011,-0.185929648,0.02617801,0.122580645,0.032967033
3334,C29,780,1080.63,0.0753,0.013671,-0.008391,0.00528,16.3999996,29.1000004,90,90,128,83,-0.076142132,-0.241877256,-0.182795699,-0.185929648,0.021052632,0.122580645,0.02173913
3335,C29,989,1080.62,0.1137,0.001567,-0.0042,-0.002633,15.8000002,28.7999992,90,84,123,83,-0.066666667,-0.241877256,-0.182795699,-0.183673469,0.005347594,0.148387097,0.062857143
3336,C29,1154,1080.63,0.1107,0.003441,-0.00164,0.001801,14.1999998,26.7000008,88,93,126,87,-0.055837563,-0.230769231,-0.178378378,-0.1875,0,0.105263158,0.126436782
