,ID,FIELD,YLD03,ELE,SLOPE,CURV,PRO,PLAN,EC_SH,EC_DP,BAND1,BAND2,BAND3,BAND4,VI02_518,VI02_526,VI02_619,VI02_713,VI02_721,VI02_830,VI02_907,VI02_923
22,3075,C29,1365,1080.01,0.1702,-0.015613,0.007941,-0.007672,19.3999996,44.0,94,82,106,74,-0.198237885,-0.22178988300000002,-0.21052631600000002,-0.057777777999999995,0.069767442,0.445652174,0.345238095,0.146067416
23,3076,C29,1257,1080.11,0.1829,0.009218,-0.00792,0.001298,17.2000008,36.5,92,86,106,76,-0.2,-0.22433460100000002,-0.22033898300000002,-0.07826087,0.056818182,0.420765027,0.233532934,0.068783069
24,3077,C29,1282,1080.15,0.0581,0.000272,0.001581,0.001854,19.0,37.7000008,90,84,107,75,-0.2,-0.22178988300000002,-0.222222222,-0.061946903,0.056818182,0.374301676,0.296969697,0.021052632
25,3078,C29,1219,1080.16,0.0699,-0.00861,0.00562,-0.002991,19.6000004,35.7999992,92,85,110,77,-0.19298245600000002,-0.22480620199999998,-0.212121212,-0.07826087,0.08045977,0.42222222200000004,0.33734939799999997,0.112359551
26,3079,C29,1251,1080.19,0.0916,-0.011649,0.006901,-0.004747,18.7000008,34.7000008,94,86,115,80,-0.187772926,-0.223076923,-0.22033898300000002,-0.081545064,0.063583815,0.44134078200000004,0.325301205,0.131868132
27,3080,C29,1179,1080.25,0.1588,-0.008688,0.003831,-0.004857,19.3999996,35.2999992,94,84,122,82,-0.206751055,-0.226765799,-0.225,-0.13253012,0.022222222000000003,0.396825397,0.27380952399999997,0.131868132
28,3081,C29,1131,1080.33,0.165,0.002657,-0.001599,0.001058,17.2999992,33.9000015,96,85,123,82,-0.19819819800000002,-0.22727272699999998,-0.226337449,-0.139534884,-0.005464481,0.387978142,0.263157895,0.10752688199999999
29,3082,C29,1189,1080.4,0.111,0.010541,-0.004673,0.005868,16.5,34.0,94,87,122,85,-0.18974359,-0.22137404600000002,-0.21666666699999998,-0.10483871,-0.010638298000000001,0.35135135100000003,0.245714286,0.041237113
30,3083,C29,1216,1080.43,0.0624,0.004441,-0.002809,0.001633,15.3999996,30.899999600000005,92,92,124,84,-0.16842105300000001,-0.23134328399999998,-0.21008403399999998,-0.10569105699999999,0.031914894,0.36956521700000006,0.275862069,0.057591623
31,3084,C29,1106,1080.45,0.0889,-0.003815,0.002993,-0.000822,14.0,32.4000015,92,94,129,86,-0.16923076899999998,-0.22962963,-0.21666666699999998,-0.10588235300000001,-0.0050761420000000005,0.38297872299999997,0.275862069,0.057591623
32,3085,C29,1108,1080.52,0.2086,-0.003706,0.003509,-0.000196,11.8000002,32.799999199999995,92,89,131,89,-0.19,-0.21641791,-0.209876543,-0.12121212099999999,-0.02,0.37894736799999995,0.224719101,0.067357513
33,3086,C29,1196,1080.62,0.143,0.009233,-0.008218,0.001015,11.1999998,28.600000399999995,90,89,134,87,-0.19,-0.22962963,-0.21632653100000002,-0.122137405,0.010309278,0.309278351,0.233333333,0.02970297
34,3108,C29,1238,1079.99,0.0962,0.007153,-0.004677,0.002475,22.0,54.29999920000001,96,85,114,76,-0.203539823,-0.21875,-0.20704845800000002,-0.039647577,0.064327485,0.34444444399999996,0.20958083800000002,0.020618557
35,3109,C29,1140,1080.01,0.1153,-0.001729,0.001473,-0.000255,21.7000008,42.7000008,94,85,111,76,-0.198237885,-0.209486166,-0.212121212,-0.013824885,0.097142857,0.374301676,0.20958083800000002,0.03626943
36,3110,C29,1292,1080.03,0.1323,-0.002725,0.001043,-0.001681,22.5,38.9000015,94,84,111,74,-0.205240175,-0.211155378,-0.2,-0.044642857,0.090909091,0.444444444,0.28143712600000004,0.136612022
37,3111,C29,1230,1080.07,0.1908,-0.007868,0.004087,-0.003781,20.7000008,38.4000015,94,82,107,75,-0.203539823,-0.22957198399999998,-0.201754386,-0.057777777999999995,0.045454545,0.436464088,0.33727810700000005,0.09677419400000001
38,3112,C29,1105,1080.14,0.1583,0.004237,-0.007815,-0.003578,19.6000004,38.5,90,85,107,76,-0.198237885,-0.215686275,-0.21551724100000003,-0.07826087,0.05027933,0.423728814,0.272727273,0.07027027
39,3113,C29,1146,1080.19,0.0862,0.007999,-0.005299,0.0027,20.0,40.4000015,90,86,112,76,-0.198237885,-0.214285714,-0.21551724100000003,-0.061946903,0.063583815,0.36956521700000006,0.305389222,0.117318436
40,3114,C29,1121,1080.2,0.0841,0.012371,-0.009398,0.002972,21.2000008,40.0999985,90,85,111,76,-0.189427313,-0.229007634,-0.21739130399999998,-0.077586207,0.02247191,0.448648649,0.325301205,0.117318436
41,3115,C29,1096,1080.23,0.1065,0.008273,-0.002672,0.005601,20.8999996,38.9000015,94,88,116,81,-0.189427313,-0.22433460100000002,-0.222222222,-0.119341564,-0.011111111000000002,0.409836066,0.28143712600000004,0.127071823
42,3116,C29,1000,1080.28,0.148,0.006866,-0.000471,0.006396,19.7999992,36.4000015,94,85,121,81,-0.21702127699999998,-0.23018867899999998,-0.226337449,-0.12195122,-0.016216216000000002,0.384615385,0.289940828,0.092896175
43,3117,C29,960,1080.36,0.1533,0.005698,-0.001498,0.004201,18.3999996,35.5999985,90,85,121,82,-0.209090909,-0.22727272699999998,-0.226337449,-0.12449799199999999,-0.010752688,0.34408602200000005,0.251461988,0.052631579000000005
44,3118,C29,969,1080.42,0.0889,0.00436,-0.004551,-0.000192,17.7999992,34.7999992,90,84,123,83,-0.193717277,-0.222641509,-0.219917012,-0.10483871,-0.010638298000000001,0.34042553200000003,0.22543352600000002,0.046153846
45,3119,C29,1120,1080.45,0.0681,-0.002718,0.001724,-0.000994,15.8999996,30.2000008,88,86,120,84,-0.177083333,-0.22794117600000002,-0.219917012,-0.11023622,0.005291005,0.372340426,0.245714286,0.067357513
46,3120,C29,1180,1080.48,0.1188,-0.007084,0.006619,-0.000465,15.3999996,28.899999600000005,92,87,124,84,-0.181818182,-0.23076923100000002,-0.22448979600000002,-0.138576779,-0.01010101,0.39784946200000004,0.268571429,0.067357513
47,3121,C29,1138,1080.56,0.2456,-0.010288,0.005975,-0.004312,13.800000199999998,28.100000399999995,96,92,132,88,-0.175879397,-0.223443223,-0.220883534,-0.132075472,-0.029126213999999997,0.333333333,0.20441989,0.009708738
48,3122,C29,1082,1080.66,0.1641,0.008801,-0.003472,0.005329,12.5,30.7999992,94,92,139,87,-0.181818182,-0.223880597,-0.224,-0.105058366,-0.02970297,0.284974093,0.18032786899999997,0.024875622000000003
49,3123,C29,1041,1080.68,0.1087,-0.002337,0.00294,0.000604,13.3999996,30.2999992,90,88,135,89,-0.177664975,-0.222641509,-0.224,-0.12121212099999999,-0.043478261,0.308900524,0.17582417600000003,-0.019047619
50,3147,C29,1131,1080.02,0.1013,-0.007349,0.002136,-0.005213,23.7000008,39.2999992,96,85,107,76,-0.19819819800000002,-0.22047244100000002,-0.205240175,-0.053097345,0.083333333,0.344827586,0.218934911,0.063829787
51,3148,C29,1195,1080.06,0.1186,-0.003597,0.004722,0.001125,22.3999996,39.9000015,96,85,115,76,-0.203539823,-0.225296443,-0.212121212,-0.04,0.088757396,0.32967033,0.28571428600000004,0.13812154699999998
52,3149,C29,1096,1080.1,0.1859,-0.000747,0.000297,-0.000451,21.5,41.5999985,92,82,114,76,-0.198237885,-0.22480620199999998,-0.20704845800000002,-0.03196347,0.104651163,0.40331491700000005,0.36144578299999996,0.11475409800000001
53,3150,C29,1176,1080.15,0.1308,0.018392,-0.014144,0.004249,21.8999996,41.5999985,92,83,111,76,-0.2,-0.2109375,-0.20535714300000002,-0.031674207999999995,0.102272727,0.464480874,0.301204819,0.043478261
54,3151,C29,1174,1080.17,0.0693,0.010526,-0.007349,0.003176,21.7000008,42.2000008,90,85,108,76,-0.20535714300000002,-0.22352941199999998,-0.201754386,-0.048888889000000005,0.074285714,0.4,0.305389222,0.081967213
55,3152,C29,1140,1080.18,0.0833,0.000136,3.2e-05,0.000168,22.1000004,39.7000008,88,88,111,76,-0.198237885,-0.209486166,-0.21238938100000002,-0.07079646,0.06741573,0.433333333,0.33734939799999997,0.086956522
56,3153,C29,1168,1080.18,0.0869,-0.0071,0.002694,-0.004406,22.1000004,38.5,88,83,112,76,-0.194690265,-0.218390805,-0.212121212,-0.077586207,0.050847458,0.423913043,0.27380952399999997,0.047619048
57,3154,C29,1056,1080.22,0.1077,-0.010177,0.001718,-0.008459,19.0,35.4000015,90,84,115,79,-0.189427313,-0.216730038,-0.215189873,-0.119341564,0.005524861999999999,0.362162162,0.27380952399999997,0.080213904
58,3155,C29,1085,1080.28,0.1313,-0.007271,0.002387,-0.004884,18.2999992,32.799999199999995,88,85,111,80,-0.205128205,-0.22433460100000002,-0.219917012,-0.12195122,0.010752688,0.409836066,0.278106509,0.046153846
59,3156,C29,1021,1080.35,0.1614,-0.002534,0.001042,-0.001492,18.7999992,32.9000015,88,85,119,82,-0.198156682,-0.223880597,-0.226337449,-0.12449799199999999,-0.005291005,0.34042553200000003,0.278106509,0.020408163
60,3157,C29,994,1080.43,0.1236,0.00464,-0.003577,0.001063,19.2999992,33.7000008,92,87,123,82,-0.193717277,-0.22509225100000002,-0.219917012,-0.11740890699999999,0.005291005,0.344262295,0.23428571399999998,0.04040404
61,3158,C29,1090,1080.48,0.1175,0.001717,0.003127,0.004844,16.2999992,31.399999600000005,92,84,121,84,-0.170984456,-0.22509225100000002,-0.214876033,-0.11023622,0.0,0.347593583,0.224719101,0.004830918
62,3159,C29,1016,1080.54,0.1838,-0.000888,0.003221,0.002334,15.300000199999998,29.2000008,90,90,125,85,-0.18407960199999998,-0.220588235,-0.219512195,-0.138576779,-0.048543689,0.329842932,0.17127071800000002,-0.014218008999999998
63,3160,C29,1002,1080.63,0.2638,0.001376,-0.000278,0.001098,14.0,28.100000399999995,94,93,131,88,-0.192118227,-0.22509225100000002,-0.219512195,-0.132075472,-0.048543689,0.287958115,0.158469945,-0.03286385
64,3161,C29,1126,1080.73,0.1602,0.019245,-0.008423,0.010822,14.0,25.7000008,94,93,140,88,-0.18407960199999998,-0.222222222,-0.224,-0.105058366,0.0050251259999999996,0.270833333,0.14754098400000001,-0.055045872
65,3162,C29,1042,1080.73,0.0987,0.002371,-0.000956,0.001415,14.699999800000002,30.2999992,92,92,135,88,-0.192118227,-0.226277372,-0.21457489899999999,-0.12121212099999999,-0.043478261,0.274611399,0.144385027,-0.044642857
66,3163,C29,841,1080.71,0.1015,0.014823,-0.003769,0.011054,13.1000004,29.600000399999995,96,93,139,91,-0.19,-0.23297491,-0.224,-0.137546468,-0.047169811,0.23857868,0.176470588,-0.057777777999999995
67,3187,C29,1067,1080.07,0.1851,-0.003937,0.004221,0.000284,23.7000008,40.5999985,92,85,111,76,-0.2,-0.217741935,-0.194690265,-0.057268722,0.05952381,0.37142857100000004,0.214285714,0.03125
68,3188,C29,1041,1080.12,0.1539,0.010562,-0.008498,0.002064,22.5,40.4000015,90,89,111,78,-0.194690265,-0.23735408600000002,-0.205240175,-0.044247787999999996,0.069767442,0.344632768,0.24260355,0.124324324
69,3189,C29,1138,1080.14,0.0716,0.011499,-0.008518,0.002981,23.2999992,43.5999985,94,85,107,76,-0.194690265,-0.22352941199999998,-0.21052631600000002,-0.027027027000000002,0.111111111,0.447513812,0.33734939799999997,0.12222222199999999
70,3190,C29,1070,1080.14,0.0902,-0.002253,-0.001272,-0.003525,24.0,41.2999992,92,85,111,74,-0.194690265,-0.21739130399999998,-0.210762332,-0.03196347,0.09195402300000001,0.431693989,0.301204819,0.037433155
71,3191,C29,1026,1080.15,0.0811,-0.009251,0.002281,-0.00697,23.1000004,37.7000008,92,84,110,76,-0.194690265,-0.22007722,-0.21238938100000002,-0.074235808,0.04494382,0.38202247200000006,0.24260355,0.037037037
72,3192,C29,1125,1080.17,0.0582,-0.004959,0.005275,0.000316,21.8999996,39.0,90,84,112,76,-0.192825112,-0.212355212,-0.21739130399999998,-0.070175439,0.056818182,0.4,0.296969697,0.07027027
73,3193,C29,1163,1080.19,0.0927,-0.010014,0.005935,-0.004079,18.5,35.5999985,90,84,116,77,-0.19298245600000002,-0.210727969,-0.21551724100000003,-0.082251082,0.045454545,0.41758241799999996,0.305389222,0.058823529000000006
74,3194,C29,1020,1080.23,0.135,-0.00627,0.003166,-0.003104,17.3999996,33.7999992,88,85,115,78,-0.187772926,-0.22137404600000002,-0.22175732199999998,-0.097046414,0.016759777,0.398907104,0.263157895,0.080213904
75,3195,C29,1048,1080.29,0.1479,-0.009019,0.004583,-0.004436,17.2999992,31.0,86,85,117,81,-0.211864407,-0.22846441899999997,-0.211864407,-0.119341564,0.0,0.406593407,0.24705882399999998,0.015384615
76,3196,C29,1056,1080.36,0.1714,-0.00875,0.000992,-0.007758,17.3999996,31.2999992,88,87,121,81,-0.19069767399999998,-0.22962963,-0.21666666699999998,-0.12449799199999999,-0.03125,0.347593583,0.23255814,0.004975124
77,3197,C29,986,1080.43,0.1418,-0.003215,-0.00152,-0.004735,16.2999992,30.100000399999995,92,90,126,80,-0.193717277,-0.223880597,-0.21666666699999998,-0.12449799199999999,-0.020833333,0.311827957,0.2,0.004975124
78,3198,C29,1029,1080.5,0.1484,-0.006032,0.002762,-0.00327,15.0,28.2000008,88,88,125,83,-0.18407960199999998,-0.23021582699999998,-0.221311475,-0.118110236,-0.015228426000000002,0.284210526,0.17127071800000002,-0.037735849
79,3199,C29,978,1080.58,0.1938,0.001267,0.001152,0.002419,14.699999800000002,28.600000399999995,92,94,130,86,-0.18407960199999998,-0.226277372,-0.22891566300000002,-0.098039216,-0.014778325,0.287958115,0.149171271,-0.050691244
80,3200,C29,932,1080.68,0.2045,0.006151,-0.003286,0.002865,14.199999800000002,28.7000008,94,94,134,90,-0.190243902,-0.224637681,-0.220883534,-0.1015625,-0.004926108,0.294736842,0.17127071800000002,-0.063636364
81,3201,C29,955,1080.76,0.0935,0.020708,-0.008569,0.012139,13.8999996,25.8999996,98,94,133,86,-0.192307692,-0.226277372,-0.220883534,-0.1015625,-0.00990099,0.30526315800000003,0.184782609,-0.04109589
82,3202,C29,1075,1080.75,0.0991,0.014639,-0.007146,0.007493,15.0,26.0,92,94,131,88,-0.192118227,-0.227436823,-0.220883534,-0.088803089,-0.019607843,0.3125,0.217877095,-0.049327354000000004
83,3203,C29,780,1080.69,0.1963,0.005736,-0.006734,-0.000998,14.8999996,30.7999992,96,93,146,95,-0.190243902,-0.225806452,-0.21912350600000002,-0.137546468,-0.074766355,0.284974093,0.19125683100000002,-0.018181818
84,3204,C29,885,1080.58,0.2843,0.009215,-0.006397,0.002818,13.800000199999998,27.0,94,96,139,93,-0.192307692,-0.237410072,-0.225296443,-0.09848484800000001,-0.014634146,0.274611399,0.19565217399999998,-0.058823529000000006
85,3230,C29,1053,1080.14,0.1898,0.018093,-0.009934,0.008158,23.3999996,40.0,94,85,107,78,-0.19819819800000002,-0.21739130399999998,-0.21739130399999998,-0.069565217,0.058139535,0.43181818200000005,0.28143712600000004,0.020618557
86,3231,C29,994,1080.16,0.074,0.011512,-0.007553,0.00396,22.7999992,38.0999985,96,85,111,76,-0.192825112,-0.21739130399999998,-0.212121212,-0.052631579000000005,0.063583815,0.31843575399999996,0.21176470600000002,0.07853403099999999
87,3232,C29,1166,1080.12,0.0855,-0.011693,0.005711,-0.005982,23.1000004,38.4000015,94,85,112,76,-0.198237885,-0.223076923,-0.207207207,-0.040723982,0.083333333,0.397727273,0.305389222,0.136612022
88,3233,C29,1163,1080.12,0.0679,-0.006403,0.004202,-0.002201,21.8999996,36.4000015,88,82,112,76,-0.198237885,-0.213740458,-0.20535714300000002,-0.053097345,0.099415205,0.43956044,0.333333333,0.058823529000000006
89,3234,C29,1057,1080.16,0.11,-0.003659,0.004402,0.000743,22.0,37.7000008,94,82,108,76,-0.205240175,-0.217054264,-0.20535714300000002,-0.07826087,0.085714286,0.39226519299999996,0.245508982,0.031914894
90,3235,C29,995,1080.2,0.1277,-0.004346,0.005308,0.000961,21.2999992,38.7999992,92,85,115,78,-0.2,-0.21969697,-0.205128205,-0.093220339,0.045454545,0.38202247200000006,0.25609756100000003,0.042553191
91,3236,C29,1040,1080.24,0.1675,-0.003441,0.001969,-0.001472,21.3999996,39.7999992,88,89,115,80,-0.19298245600000002,-0.21969697,-0.21702127699999998,-0.077586207,0.04494382,0.38547486,0.27380952399999997,0.058823529000000006
92,3237,C29,926,1080.3,0.1891,0.00579,-0.001842,0.003949,20.7000008,36.0999985,90,85,115,81,-0.21551724100000003,-0.220973783,-0.21666666699999998,-0.108333333,0.016393443,0.394594595,0.23809523800000001,0.047120419000000004
93,3238,C29,814,1080.36,0.2106,-0.000171,0.000915,0.000744,21.2000008,35.7999992,92,84,129,83,-0.198113208,-0.22556391,-0.226337449,-0.12195122,-0.015873016,0.35519125700000004,0.24705882399999998,0.0050761420000000005
94,3239,C29,815,1080.43,0.2101,-0.000722,0.000162,-0.00056,20.8999996,33.200000800000005,90,87,124,81,-0.193877551,-0.213235294,-0.22448979600000002,-0.13253012,-0.030927835,0.311827957,0.20689655199999998,0.004975124
95,3240,C29,908,1080.48,0.1675,-0.001074,-0.000945,-0.002019,18.2000008,32.5,88,87,125,82,-0.181818182,-0.221818182,-0.22448979600000002,-0.12,-0.03030303,0.28648648600000004,0.152542373,-0.038461537999999997
96,3241,C29,982,1080.54,0.1652,-0.006676,0.001455,-0.005221,15.800000199999998,30.100000399999995,88,86,130,81,-0.19607843100000003,-0.221818182,-0.219512195,-0.111111111,-0.02970297,0.272727273,0.144444444,-0.037735849
97,3242,C29,941,1080.62,0.1753,0.006088,-0.003057,0.003031,14.800000199999998,27.7000008,94,90,128,84,-0.192307692,-0.223021583,-0.225806452,-0.072580645,-0.02970297,0.304812834,0.166666667,-0.05990783400000001
98,3243,C29,947,1080.69,0.1192,0.010858,-0.002986,0.007872,15.199999800000002,27.2999992,88,91,133,88,-0.192307692,-0.22909090899999998,-0.21632653100000002,-0.075697211,0.0,0.287958115,0.17127071800000002,-0.019047619
99,3244,C29,990,1080.72,0.1012,0.005045,0.000395,0.00544,13.800000199999998,26.2999992,92,89,131,87,-0.19607843100000003,-0.233576642,-0.21632653100000002,-0.1015625,0.015075377,0.3125,0.217877095,0.0
100,3245,C29,966,1080.7,0.1268,0.006376,-0.002294,0.004082,13.3999996,25.1000004,90,89,134,88,-0.192307692,-0.233576642,-0.225806452,-0.09375,-0.00990099,0.333333333,0.217877095,-0.037037037
101,3246,C29,1080,1080.64,0.2106,0.003036,-0.003459,-0.000423,14.8999996,25.6000004,90,93,140,89,-0.192307692,-0.239130435,-0.21457489899999999,-0.095057034,-0.00990099,0.29842931899999997,0.182320442,-0.04109589
102,3247,C29,878,1080.52,0.2824,0.008515,-0.007757,0.000758,14.3999996,33.7000008,92,93,139,88,-0.19607843100000003,-0.233576642,-0.224,-0.111111111,-0.038834951,0.30526315800000003,0.224719101,-0.013824885
103,3248,C29,944,1080.35,0.4306,0.009622,-0.006315,0.003307,14.0,25.8999996,90,92,138,91,-0.192307692,-0.22794117600000002,-0.22007722,-0.081712062,0.025641026,0.29842931899999997,0.177777778,-0.074766355
104,3275,C29,1132,1080.16,0.088,0.018324,-0.011909,0.006415,23.8999996,39.4000015,94,85,106,76,-0.20535714300000002,-0.217054264,-0.201754386,-0.06550218299999999,0.005524861999999999,0.40331491700000005,0.296969697,0.020618557
105,3276,C29,855,1080.15,0.0489,-0.003219,0.002007,-0.001212,22.3999996,36.5999985,98,85,110,76,-0.194690265,-0.22556391,-0.21702127699999998,-0.048888889000000005,0.051428571,0.379310345,0.25443787,0.047120419000000004
106,3277,C29,1071,1080.14,0.057,-0.001853,-0.000712,-0.002565,19.1000004,35.0,92,85,115,78,-0.212121212,-0.218045113,-0.21238938100000002,-0.027272727000000004,0.086705202,0.40112994399999996,0.27710843399999996,0.112299465
107,3278,C29,1063,1080.14,0.0927,-0.010884,0.008005,-0.002879,22.5,43.0,90,85,115,78,-0.2,-0.22846441899999997,-0.215859031,-0.07359307400000001,0.062146892999999995,0.409836066,0.36144578299999996,0.08510638300000001
108,3279,C29,1036,1080.2,0.1847,-0.000627,0.001539,0.000912,22.2000008,40.5999985,88,85,116,78,-0.20689655199999998,-0.223880597,-0.2,-0.074235808,0.062146892999999995,0.420765027,0.28143712600000004,0.026737967999999997
109,3280,C29,998,1080.27,0.1245,0.016558,-0.009734,0.006824,19.6000004,36.0999985,88,85,117,79,-0.205240175,-0.23420074300000002,-0.215189873,-0.07359307400000001,0.033333333,0.378531073,0.233532934,0.010638298000000001
110,3281,C29,1015,1080.29,0.084,0.000409,-0.001316,-0.000907,20.7999992,36.2999992,88,84,115,80,-0.2,-0.223443223,-0.226337449,-0.100840336,0.027932961,0.37078651700000004,0.23636363600000002,0.015873016
111,3282,C29,919,1080.34,0.1378,-0.002539,0.003824,0.001284,20.1000004,34.0,92,87,120,82,-0.21702127699999998,-0.226277372,-0.214876033,-0.13253012,0.005405405,0.38202247200000006,0.204819277,0.015384615
112,3283,C29,825,1080.42,0.1674,0.005504,-2.7e-05,0.005477,19.6000004,32.700000800000005,92,87,126,84,-0.192307692,-0.21771217699999998,-0.221311475,-0.129032258,-0.020833333,0.32967033,0.19298245600000002,-0.014778325
113,3284,C29,837,1080.5,0.1616,0.015974,-0.004098,0.011876,18.2999992,32.799999199999995,92,85,124,83,-0.177083333,-0.221818182,-0.219917012,-0.13253012,-0.030927835,0.28648648600000004,0.159090909,-0.038834951
114,3285,C29,830,1080.56,0.1411,0.013896,-0.003913,0.009983,17.3999996,31.100000399999995,92,84,120,85,-0.18407960199999998,-0.220216606,-0.21632653100000002,-0.090163934,-0.04,0.254054054,0.13483146099999999,-0.043478261
115,3286,C29,814,1080.59,0.117,0.002611,-0.004467,-0.001857,16.7000008,29.0,90,87,129,85,-0.186602871,-0.223021583,-0.23886639699999998,-0.12,-0.02970297,0.25531914899999997,0.14772727300000002,-0.056603774
116,3287,C29,974,1080.63,0.0995,-0.003801,-0.000411,-0.004212,15.6000004,28.7000008,94,89,127,84,-0.18483412300000002,-0.23571428600000002,-0.225806452,-0.092369478,-0.014925373,0.263157895,0.144444444,-0.038461537999999997
117,3288,C29,856,1080.67,0.0854,0.002217,0.000559,0.002776,14.8999996,26.899999600000005,88,86,125,82,-0.196172249,-0.220588235,-0.225806452,-0.06882591099999999,0.01010101,0.32275132300000003,0.20903954800000002,-0.018867925
