ID,FIELD,YLD00,ELE,SLOPE,CURV,PRO,PLAN,EC_SH,EC_DP,BAND1,BAND2,BAND3,BAND4,VI00_520,VI00_528,VI00_613,VI00_707,VI00_715,VI00_723,VI00_816,VI00_824,VI00_901,VI00_917
3046,C29,782.4000244,1080.14,0.0912,0.004945,-0.002969,0.001977,15.1999998,38,96,87,119,82,-0.1959,-0.1864,-0.1519,0.1041,0.2697,0.3575,0.4839,0.399,0.1975,-0.0355
3047,C29,793.5,1080.17,0.097,0.000632,0.000287,0.000919,15.1000004,37.2999992,94,87,120,81,-0.2013,-0.1806,-0.1592,0.0909,0.2486,0.3505,0.465,0.3869,0.1975,-0.0348
3048,C29,775.2999878,1080.23,0.145,0.003992,0.001317,0.005309,14.6999998,31,96,87,124,83,-0.204,-0.1861,-0.175,0.0815,0.2402,0.3604,0.434,0.36,0.2025,-0.0297
3049,C29,789.7999878,1080.29,0.1633,0.003529,0.000849,0.004378,14.3999996,38.2999992,98,88,128,85,-0.2081,-0.1775,-0.1801,0.0862,0.2597,0.3469,0.441,0.36,0.1976,-0.0392
3050,C29,708.7000122,1080.35,0.1741,0.004101,-0.002379,0.001721,13.8000002,43.2999992,94,93,126,87,-0.1973,-0.1883,-0.1779,0.0303,0.2316,0.2755,0.362,0.3069,0.1765,-0.0196
3051,C29,763.9000244,1080.39,0.1309,0.004983,-0.002425,0.002558,13.1999998,38.2999992,94,94,127,87,-0.2013,-0.1867,-0.1801,0.0439,0.2135,0.2718,0.3827,0.33,0.1953,-0.0192
3052,C29,853.4000244,1080.4,0.1374,-0.002629,-0.000719,-0.003349,12.8000002,37.2000008,92,92,136,91,-0.204,-0.183,-0.1698,0.0563,0.2222,0.2893,0.4024,0.3333,0.2047,-0.0192
3053,C29,989.9000244,1080.47,0.2421,-0.005114,0.004176,-0.000938,11.8999996,34.7000008,86,95,134,91,-0.2053,-0.1878,-0.1707,0.0717,0.2402,0.2935,0.3976,0.3014,0.1839,-0.0874
3072,C29,1087.900024,1079.93,0.1456,0.002631,-0.003935,-0.001304,22.3999996,54.5999985,92,85,105,76,-0.1812,-0.181,-0.1677,0.1376,0.1512,0.3763,0.4805,0.3538,0.2739,-0.0505
3073,C29,1019.799988,1079.96,0.0758,-0.003038,0.002461,-0.000577,24.6000004,61.5999985,92,82,103,74,-0.1884,-0.1875,-0.1447,0.2,0.314,0.4043,0.5226,0.4082,0.2387,-0.0408
3074,C29,935.2000122,1079.97,0.0878,-0.005263,0.003866,-0.001397,22.6000004,50.4000015,92,85,108,74,-0.1912,-0.1818,-0.1558,0.1643,0.3099,0.3862,0.5099,0.401,0.2357,-0.0462
3075,C29,913.9000244,1080.01,0.1702,-0.015613,0.007941,-0.007672,19.3999996,44,94,82,106,74,-0.1971,-0.177,-0.1613,0.1429,0.2832,0.3542,0.451,0.3679,0.2152,-0.0297
3076,C29,792.5,1080.11,0.1829,0.009218,-0.00792,0.001298,17.2000008,36.5,92,86,106,76,-0.1959,-0.188,-0.1795,0.1081,0.2809,0.3403,0.4323,0.3438,0.1656,-0.0443
3077,C29,854.0999756,1080.15,0.0581,0.000272,0.001581,0.001854,19,37.7000008,90,84,107,75,-0.1932,-0.1864,-0.1772,0.1019,0.2614,0.3508,0.451,0.3263,0.1875,-0.0462
3078,C29,898.5999756,1080.16,0.0699,-0.00861,0.00562,-0.002991,19.6000004,35.7999992,92,85,110,77,-0.1973,-0.1833,-0.1795,0.1185,0.2529,0.3508,0.4737,0.3608,0.2025,-0.0363
3079,C29,882.0999756,1080.19,0.0916,-0.011649,0.006901,-0.004747,18.7000008,34.7000008,94,86,115,80,-0.1932,-0.1883,-0.1895,0.1121,0.2386,0.3472,0.4805,0.3608,0.2075,-0.0348
3080,C29,792.2000122,1080.25,0.1588,-0.008688,0.003831,-0.004857,19.3999996,35.2999992,94,84,122,82,-0.1797,-0.1814,-0.1871,0.0578,0.2343,0.3163,0.4359,0.3641,0.1829,-0.02
3081,C29,771.7999878,1080.33,0.165,0.002657,-0.001599,0.001058,17.2999992,33.9000015,96,85,123,82,-0.1973,-0.1883,-0.195,0.0303,0.2402,0.3093,0.3951,0.3234,0.1856,-0.0297
3082,C29,751.4000244,1080.4,0.111,0.010541,-0.004673,0.005868,16.5,34,94,87,122,85,-0.1987,-0.2032,-0.205,0.0396,0.1886,0.285,0.362,0.2941,0.1617,-0.0392
3083,C29,760.2999878,1080.43,0.0624,0.004441,-0.002809,0.001633,15.3999996,30.8999996,92,92,124,84,-0.1959,-0.192,-0.195,0.04,0.1886,0.2589,0.362,0.2906,0.1667,-0.0392
3084,C29,772,1080.45,0.0889,-0.003815,0.002993,-0.000822,14,32.4000015,92,94,129,86,-0.1973,-0.1934,-0.1899,0.0439,0.2067,0.2755,0.3697,0.3171,0.2071,-0.0286
3085,C29,743.7000122,1080.52,0.2086,-0.003706,0.003509,-0.000196,11.8000002,32.7999992,92,89,131,89,-0.196,-0.1861,-0.1801,0.0776,0.1889,0.3131,0.3735,0.3143,0.186,-0.0526
3086,C29,848.5,1080.62,0.143,0.009233,-0.008218,0.001015,11.1999998,28.6000004,90,89,134,87,-0.2053,-0.1911,-0.1687,0.0932,0.2527,0.3131,0.4048,0.3077,0.1932,-0.0616
3108,C29,877.2000122,1079.99,0.0962,0.007153,-0.004677,0.002475,22,54.2999992,96,85,114,76,-0.1661,-0.1848,-0.1447,0.1613,0.1043,0.369,0.4118,0.3436,0.1975,-0.0452
3109,C29,955.5,1080.01,0.1153,-0.001729,0.001473,-0.000255,21.7000008,42.7000008,94,85,111,76,-0.2014,-0.1878,-0.1429,0.1675,0.3179,0.3651,0.4771,0.4043,0.2102,-0.0816
3110,C29,1034,1080.03,0.1323,-0.002725,0.001043,-0.001681,22.5,38.9000015,94,84,111,74,-0.2,-0.1806,-0.172,0.1635,0.2832,0.383,0.4902,0.3895,0.2025,-0.0505
3111,C29,1055.699951,1080.07,0.1908,-0.007868,0.004087,-0.003781,20.7000008,38.4000015,94,82,107,75,-0.1971,-0.1775,-0.1634,0.128,0.2907,0.3717,0.5032,0.3949,0.2152,-0.0256
3112,C29,860,1080.14,0.1583,0.004237,-0.007815,-0.003578,19.6000004,38.5,90,85,107,76,-0.1916,-0.1864,-0.1765,0.1226,0.2686,0.3613,0.451,0.3854,0.1875,-0.0722
3113,C29,834.2000122,1080.19,0.0862,0.007999,-0.005299,0.0027,20,40.4000015,90,86,112,76,-0.1932,-0.1864,-0.1842,0.1304,0.2601,0.3542,0.4474,0.3263,0.2025,-0.0526
3114,C29,862.2999878,1080.2,0.0841,0.012371,-0.009398,0.002972,21.2000008,40.0999985,90,85,111,76,-0.1849,-0.1814,-0.1921,0.1304,0.2644,0.3542,0.4805,0.3579,0.2102,-0.0309
3115,C29,1023.200012,1080.23,0.1065,0.008273,-0.002672,0.005601,20.8999996,38.9000015,94,88,116,81,-0.1809,-0.1885,-0.1812,0.1304,0.2571,0.3402,0.4615,0.3641,0.2152,-0.0547
3116,C29,862.0999756,1080.28,0.148,0.006866,-0.000471,0.006396,19.7999992,36.4000015,94,85,121,81,-0.1879,-0.177,-0.1847,0.0625,0.2529,0.285,0.4395,0.3608,0.1879,-0.0392
3117,C29,810.7999878,1080.36,0.1533,0.005698,-0.001498,0.004201,18.3999996,35.5999985,90,85,121,82,-0.1921,-0.1888,-0.1899,0.0261,0.2045,0.2513,0.375,0.3469,0.1856,-0.0355
3118,C29,750.2999878,1080.42,0.0889,0.00436,-0.004551,-0.000192,17.7999992,34.7999992,90,84,123,83,-0.1894,-0.1935,-0.2051,0.0667,0.1823,0.2995,0.362,0.2941,0.1879,-0.0485
3119,C29,814.0999756,1080.45,0.0681,-0.002718,0.001724,-0.000994,15.8999996,30.2000008,88,86,120,84,-0.2,-0.1822,-0.1899,0.0661,0.1889,0.2663,0.3455,0.31,0.1905,-0.0291
3120,C29,787.9000244,1080.48,0.1188,-0.007084,0.006619,-0.000465,15.3999996,28.8999996,92,87,124,84,-0.1921,-0.192,-0.205,0.0259,0.1844,0.2764,0.3865,0.3268,0.186,-0.0144
3121,C29,896.7000122,1080.56,0.2456,-0.010288,0.005975,-0.004312,13.8000002,28.1000004,96,92,132,88,-0.1815,-0.1833,-0.205,0.073,0.1739,0.2828,0.3494,0.3077,0.1561,-0.028
3122,C29,852.9000244,1080.66,0.1641,0.008801,-0.003472,0.005329,12.5,30.7999992,94,92,139,87,-0.2027,-0.1861,-0.1902,0.1149,0.2222,0.3,0.3571,0.2981,0.1839,-0.0459
3123,C29,866.5,1080.68,0.1087,-0.002337,0.00294,0.000604,13.3999996,30.2999992,90,88,135,89,-0.2119,-0.1875,-0.1598,0.1356,0.2597,0.3166,0.4061,0.2617,0.1705,-0.0718
3147,C29,1007.400024,1080.02,0.1013,-0.007349,0.002136,-0.005213,23.7000008,39.2999992,96,85,107,76,-0.1971,-0.1682,-0.1698,0.1481,0.1566,0.3583,0.4079,0.267,0.1677,-0.0537
3148,C29,1002.099976,1080.06,0.1186,-0.003597,0.004722,0.001125,22.3999996,39.9000015,96,85,115,76,-0.1944,-0.1765,-0.1742,0.1442,0.2832,0.3552,0.4437,0.3228,0.1772,-0.0784
3149,C29,1099.900024,1080.1,0.1859,-0.000747,0.000297,-0.000451,21.5,41.5999985,92,82,114,76,-0.1944,-0.1864,-0.1711,0.1635,0.2471,0.3913,0.4902,0.3438,0.2025,-0.064
3150,C29,1027.199951,1080.15,0.1308,0.018392,-0.014144,0.004249,21.8999996,41.5999985,92,83,111,76,-0.1958,-0.181,-0.1765,0.1402,0.2749,0.3968,0.5287,0.4508,0.2436,-0.0452
3151,C29,1026.099976,1080.17,0.0693,0.010526,-0.007349,0.003176,21.7000008,42.2000008,90,85,108,76,-0.1918,-0.188,-0.1765,0.1333,0.2907,0.3679,0.4615,0.4227,0.2075,-0.0707
3152,C29,1004.200012,1080.18,0.0833,0.000136,0.000032,0.000168,22.1000004,39.7000008,88,88,111,76,-0.1821,-0.1864,-0.1788,0.1275,0.2727,0.3789,0.4615,0.3575,0.2025,-0.0612
3153,C29,984.5999756,1080.18,0.0869,-0.0071,0.002694,-0.004406,22.1000004,38.5,88,83,112,76,-0.1877,-0.178,-0.1895,0.1232,0.2727,0.3717,0.4839,0.3822,0.2102,-0.0558
3154,C29,964.2999878,1080.22,0.1077,-0.010177,0.001718,-0.008459,19,35.4000015,90,84,115,79,-0.1973,-0.1867,-0.1842,0.1014,0.2686,0.3542,0.4805,0.3895,0.1925,-0.0443
3155,C29,900.2000122,1080.28,0.1313,-0.007271,0.002387,-0.004884,18.2999992,32.7999992,88,85,111,80,-0.1906,-0.1885,-0.1688,0.0578,0.2614,0.3026,0.4304,0.35,0.1879,-0.0392
3156,C29,910.7999878,1080.35,0.1614,-0.002534,0.001042,-0.001492,18.7999992,32.9000015,88,85,119,82,-0.1894,-0.1888,-0.1795,0.0667,0.1977,0.2626,0.3789,0.33,0.1807,-0.0537
3157,C29,1007.299988,1080.43,0.1236,0.00464,-0.003577,0.001063,19.2999992,33.7000008,92,87,123,82,-0.1933,-0.1837,-0.1899,0.0619,0.2198,0.3096,0.3865,0.33,0.1905,-0.0526
3158,C29,1038.300049,1080.48,0.1175,0.001717,0.003127,0.004844,16.2999992,31.3999996,92,84,121,84,-0.1908,-0.1822,-0.1899,0.0708,0.2198,0.2792,0.3697,0.3366,0.1905,-0.0385
3159,C29,837.9000244,1080.54,0.1838,-0.000888,0.003221,0.002334,15.3000002,29.2000008,90,90,125,85,-0.1883,-0.1937,-0.2,0.0614,0.2135,0.2959,0.3988,0.3398,0.186,-0.0377
3160,C29,859.2000122,1080.63,0.2638,0.001376,-0.000278,0.001098,14,28.1000004,94,93,131,88,-0.1909,-0.192,-0.1975,0.0435,0.2222,0.2424,0.3659,0.3077,0.1886,-0.0411
3161,C29,984.5,1080.73,0.1602,0.019245,-0.008423,0.010822,14,25.7000008,94,93,140,88,-0.2131,-0.1867,-0.1902,0.0696,0.1798,0.2727,0.3413,0.2981,0.1744,-0.0228
3162,C29,916.4000244,1080.73,0.0987,0.002371,-0.000956,0.001415,14.6999998,30.2999992,92,92,135,88,-0.2119,-0.1864,-0.1807,0.0684,0.2316,0.2828,0.3735,0.2617,0.1573,-0.0317
3163,C29,779.4000244,1080.71,0.1015,0.014823,-0.003769,0.011054,13.1000004,29.6000004,96,93,139,91,-0.2233,-0.1861,-0.1598,0.0622,0.2198,0.2727,0.3491,0.2596,0.1319,-0.0727
3187,C29,1008.299988,1080.07,0.1851,-0.003937,0.004221,0.000284,23.7000008,40.5999985,92,85,111,76,-0.19,-0.1855,-0.172,0.1481,0.3018,0.3548,0.4079,0.2766,0.1553,-0.0732
3188,C29,997.0999756,1080.12,0.1539,0.010562,-0.008498,0.002064,22.5,40.4000015,90,89,111,78,-0.1957,-0.1909,-0.1646,0.1284,0.2781,0.3478,0.44,0.3021,0.1677,-0.0732
3189,C29,1125.800049,1080.14,0.0716,0.011499,-0.008518,0.002981,23.2999992,43.5999985,94,85,107,76,-0.2,-0.1915,-0.1538,0.1589,0.2781,0.3622,0.4737,0.3545,0.2258,-0.0537
3190,C29,1143.5,1080.14,0.0902,-0.002253,-0.001272,-0.003525,24,41.2999992,92,85,111,74,-0.2,-0.1915,-0.1634,0.1362,0.2832,0.4011,0.5195,0.445,0.2025,-0.0452
3191,C29,1004.5,1080.15,0.0811,-0.009251,0.002281,-0.00697,23.1000004,37.7000008,92,84,110,76,-0.1903,-0.1864,-0.1788,0.1383,0.2768,0.3822,0.5032,0.4154,0.2075,-0.0547
3192,C29,1008.099976,1080.17,0.0582,-0.004959,0.005275,0.000316,21.8999996,39,90,84,112,76,-0.1973,-0.1864,-0.1842,0.129,0.2686,0.3822,0.4839,0.3608,0.2025,-0.0693
3193,C29,909,1080.19,0.0927,-0.010014,0.005935,-0.004079,18.5,35.5999985,90,84,116,77,-0.1932,-0.1864,-0.1765,0.1111,0.2644,0.3717,0.4935,0.4,0.2075,-0.0505
3194,C29,950.2999878,1080.23,0.135,-0.00627,0.003166,-0.003104,17.3999996,33.7999992,88,85,115,78,-0.1919,-0.1833,-0.1742,0.1014,0.2614,0.3265,0.4805,0.3711,0.1779,-0.0348
3195,C29,879,1080.29,0.1479,-0.009019,0.004583,-0.004436,17.2999992,31,86,85,117,81,-0.1906,-0.1818,-0.1847,0.0769,0.2486,0.3402,0.443,0.3641,0.1779,-0.0392
3196,C29,888,1080.36,0.1714,-0.00875,0.000992,-0.007758,17.3999996,31.2999992,88,87,121,81,-0.1867,-0.1822,-0.1899,0.0796,0.2222,0.2893,0.3988,0.3401,0.1856,-0.0577
3197,C29,865.0999756,1080.43,0.1418,-0.003215,-0.00152,-0.004735,16.2999992,30.1000004,92,90,126,80,-0.1788,-0.189,-0.1875,0.0756,0.2155,0.2864,0.4125,0.3234,0.1716,-0.0577
3198,C29,901.2999878,1080.5,0.1484,-0.006032,0.002762,-0.00327,15,28.2000008,88,88,125,83,-0.1869,-0.184,-0.2,0.0522,0.2111,0.2828,0.3865,0.32,0.1512,-0.0566
3199,C29,999.7000122,1080.58,0.1938,0.001267,0.001152,0.002419,14.6999998,28.6000004,92,94,130,86,-0.1883,-0.192,-0.1902,0.0614,0.2067,0.2792,0.3659,0.3134,0.1696,-0.0419
3200,C29,811.5,1080.68,0.2045,0.006151,-0.003286,0.002865,14.1999998,28.7000008,94,94,134,90,-0.1909,-0.1822,-0.195,0.0439,0.2155,0.2626,0.3735,0.2919,0.1744,-0.0507
3201,C29,905.4000244,1080.76,0.0935,0.020708,-0.008569,0.012139,13.8999996,25.8999996,98,94,133,86,-0.1948,-0.1822,-0.1902,0.0578,0.1886,0.2525,0.3373,0.2736,0.1461,-0.0411
3202,C29,875.2000122,1080.75,0.0991,0.014639,-0.007146,0.007493,15,26,92,94,131,88,-0.1987,-0.1934,-0.1856,0.0254,0.1685,0.2513,0.3494,0.2632,0.1381,-0.0317
3203,C29,591,1080.69,0.1963,0.005736,-0.006734,-0.000998,14.8999996,30.7999992,96,93,146,95,-0.2168,-0.1933,-0.1839,0.046,0.1823,0.2474,0.3059,0.2358,0.1243,-0.0573
3204,C29,766.4000244,1080.58,0.2843,0.009215,-0.006397,0.002818,13.8000002,27,94,96,139,93,-0.2115,-0.1878,-0.186,0.0855,0.2198,0.2589,0.2982,0.1835,0.0688,-0.0925
3230,C29,886.4000244,1080.14,0.1898,0.018093,-0.009934,0.008158,23.3999996,40,94,85,107,78,-0.1986,-0.1765,-0.1742,0.1349,0.2848,0.3443,0.4667,0.3261,0.1625,-0.0653
3231,C29,1027.699951,1080.16,0.074,0.011512,-0.007553,0.00396,22.7999992,38.0999985,96,85,111,76,-0.2014,-0.1802,-0.1667,0.1204,0.2695,0.3548,0.4667,0.3403,0.1519,-0.0746
3232,C29,1117.199951,1080.12,0.0855,-0.011693,0.005711,-0.005982,23.1000004,38.4000015,94,85,112,76,-0.2028,-0.1913,-0.1667,0.128,0.2663,0.3626,0.4771,0.3679,0.1875,-0.0443
3233,C29,1099.900024,1080.12,0.0679,-0.006403,0.004202,-0.002201,21.8999996,36.4000015,88,82,112,76,-0.193,-0.1814,-0.1765,0.1263,0.2663,0.4098,0.4935,0.3679,0.1975,-0.0547
3234,C29,1041.599976,1080.16,0.11,-0.003659,0.004402,0.000743,22,37.7000008,94,82,108,76,-0.1903,-0.1833,-0.1765,0.1314,0.2727,0.3646,0.4805,0.4021,0.1824,-0.0547
3235,C29,903.0999756,1080.2,0.1277,-0.004346,0.005308,0.000961,21.2999992,38.7999992,92,85,115,78,-0.1932,-0.1883,-0.1688,0.1209,0.2686,0.3472,0.4805,0.3608,0.1875,-0.0443
3236,C29,888.5,1080.24,0.1675,-0.003441,0.001969,-0.001472,21.3999996,39.7999992,88,89,115,80,-0.1849,-0.1837,-0.1795,0.1357,0.2686,0.3438,0.4805,0.3679,0.2075,-0.0251
3237,C29,912.0999756,1080.3,0.1891,0.00579,-0.001842,0.003949,20.7000008,36.0999985,90,85,115,81,-0.1809,-0.1789,-0.1772,0.0927,0.2614,0.3505,0.465,0.3822,0.1925,-0.0348
3238,C29,761.0999756,1080.36,0.2106,-0.000171,0.000915,0.000744,21.2000008,35.7999992,92,84,129,83,-0.1933,-0.1888,-0.1824,0.0748,0.2155,0.3198,0.3988,0.3641,0.1758,-0.0392
3239,C29,787.4000244,1080.43,0.2101,-0.000722,0.000162,-0.00056,20.8999996,33.2000008,90,87,124,81,-0.1894,-0.184,-0.1899,0.0756,0.2179,0.2857,0.434,0.3134,0.1829,-0.0435
3240,C29,946.0999756,1080.48,0.1675,-0.001074,-0.000945,-0.002019,18.2000008,32.5,88,87,125,82,-0.1788,-0.189,-0.1925,0.0578,0.1934,0.2857,0.3697,0.2906,0.1647,-0.0485
3241,C29,905.5,1080.54,0.1652,-0.006676,0.001455,-0.005221,15.8000002,30.1000004,88,86,130,81,-0.1803,-0.1873,-0.1925,0.0351,0.2111,0.26,0.358,0.2843,0.1667,-0.0704
3242,C29,929.7000122,1080.62,0.1753,0.006088,-0.003057,0.003031,14.8000002,27.7000008,94,90,128,84,-0.1803,-0.1822,-0.1902,0.0661,0.1602,0.2615,0.3455,0.2596,0.1696,-0.0507
3243,C29,950.5999756,1080.69,0.1192,0.010858,-0.002986,0.007872,15.1999998,27.2999992,88,91,133,88,-0.1895,-0.1918,-0.1801,0.0804,0.1638,0.2792,0.358,0.2632,0.1744,-0.0556
3244,C29,992.5999756,1080.72,0.1012,0.005045,0.000395,0.00544,13.8000002,26.2999992,92,89,131,87,-0.1869,-0.1983,-0.1852,0.0708,0.2135,0.2589,0.3455,0.2632,0.1561,-0.0594
3245,C29,871.2999878,1080.7,0.1268,0.006376,-0.002294,0.004082,13.3999996,25.1000004,90,89,134,88,-0.1922,-0.1867,-0.2,0.0522,0.1932,0.2551,0.3455,0.2512,0.1173,-0.0583
3246,C29,860.7999878,1080.64,0.2106,0.003036,-0.003459,-0.000423,14.8999996,25.6000004,90,93,140,89,-0.1987,-0.1934,-0.1813,0.0603,0.1823,0.241,0.3294,0.2394,0.0978,-0.0573
3247,C29,745.5999756,1080.52,0.2824,0.008515,-0.007757,0.000758,14.3999996,33.7000008,92,93,139,88,-0.1974,-0.176,-0.1765,0.0855,0.2067,0.268,0.3059,0.2258,0.1099,-0.083
3248,C29,784.7000122,1080.35,0.4306,0.009622,-0.006315,0.003307,14,25.8999996,90,92,138,91,-0.1987,-0.1983,-0.1758,0.0377,0.2067,0.2462,0.3697,0.1963,-0.0748,-0.0844
3275,C29,1070.800049,1080.16,0.088,0.018324,-0.011909,0.006415,23.8999996,39.4000015,94,85,106,76,-0.2042,-0.1822,-0.1634,0.1333,0.2619,0.3587,0.4631,0.3846,0.1465,-0.08
3276,C29,1013.5,1080.15,0.0489,-0.003219,0.002007,-0.001212,22.3999996,36.5999985,98,85,110,76,-0.1942,-0.1861,-0.1742,0.1321,0.2761,0.3626,0.4667,0.3626,0.1519,-0.08
3277,C29,1023.799988,1080.14,0.057,-0.001853,-0.000712,-0.002565,19.1000004,35,92,85,115,78,-0.1957,-0.1911,-0.1688,0.1068,0.2426,0.3478,0.4581,0.369,0.1572,-0.0537
3278,C29,1039.5,1080.14,0.0927,-0.010884,0.008005,-0.002879,22.5,43,90,85,115,78,-0.2028,-0.1864,-0.1795,0.0978,0.2558,0.3474,0.4839,0.399,0.2051,-0.0452
3279,C29,920.2999878,1080.2,0.1847,-0.000627,0.001539,0.000912,22.2000008,40.5999985,88,85,116,78,-0.1806,-0.1867,-0.1765,0.1061,0.2749,0.369,0.4902,0.3918,0.1677,-0.0547
3280,C29,1032,1080.27,0.1245,0.016558,-0.009734,0.006824,19.6000004,36.0999985,88,85,117,79,-0.1736,-0.1885,-0.1765,0.1064,0.2571,0.369,0.4771,0.3545,0.1625,-0.0392
3281,C29,969.7000122,1080.29,0.084,0.000409,-0.001316,-0.000907,20.7999992,36.2999992,88,84,115,80,-0.1821,-0.1822,-0.1742,0.101,0.2614,0.3403,0.4615,0.3608,0.1728,-0.0149
3282,C29,1013,1080.34,0.1378,-0.002539,0.003824,0.001284,20.1000004,34,92,87,120,82,-0.1809,-0.1888,-0.1795,0.1078,0.2472,0.3508,0.443,0.3636,0.1779,-0.0443
3283,C29,872.2000122,1080.42,0.1674,0.005504,-0.000027,0.005477,19.6000004,32.7000008,92,87,126,84,-0.1839,-0.1937,-0.1899,0.0521,0.2111,0.3166,0.3913,0.3366,0.1829,-0.0667
3284,C29,803.0999756,1080.5,0.1616,0.015974,-0.004098,0.011876,18.2999992,32.7999992,92,85,124,83,-0.1812,-0.189,-0.1925,0.0442,0.1778,0.2663,0.362,0.2976,0.1765,-0.0467
3285,C29,914.7999878,1080.56,0.1411,0.013896,-0.003913,0.009983,17.3999996,31.1000004,92,84,120,85,-0.1717,-0.1984,-0.2,0.0044,0.1319,0.2386,0.3533,0.3103,0.186,-0.0467
3286,C29,836.5999756,1080.59,0.117,0.002611,-0.004467,-0.001857,16.7000008,29,90,87,129,85,-0.1788,-0.1873,-0.2,0,0.1556,0.2371,0.362,0.3069,0.1561,-0.0616
3287,C29,890.5999756,1080.63,0.0995,-0.003801,-0.000411,-0.004212,15.6000004,28.7000008,94,89,127,84,-0.1722,-0.1837,-0.205,0.0043,0.1397,0.2251,0.2934,0.2464,0.1561,-0.0566
3288,C29,893.2999878,1080.67,0.0854,0.002217,0.000559,0.002776,14.8999996,26.8999996,88,86,125,82,-0.1857,-0.1934,-0.2025,0.0625,0.1299,0.2784,0.3374,0.2709,0.1512,-0.0507
3289,C29,958.2000122,1080.68,0.0771,0.002275,-0.001383,0.000893,15.5,26,92,91,131,87,-0.1908,-0.1934,-0.1801,0.086,0.2135,0.2784,0.362,0.2718,0.1314,-0.0679
3290,C29,856,1080.67,0.1029,0.008965,-0.004803,0.004161,14.8000002,25.5,90,90,132,87,-0.1921,-0.1935,-0.1951,0.086,0.209,0.2784,0.362,0.2632,0.1364,-0.0679
3291,C29,962.5999756,1080.59,0.2261,0.010477,-0.009085,0.001392,15.3000002,25,90,85,128,84,-0.1881,-0.1969,-0.1951,0.0708,0.1732,0.2539,0.3455,0.217,0.1429,-0.0631
3292,C29,780.7999878,1080.45,0.3386,0.000572,-0.003673,-0.003101,15.3999996,36,92,95,131,86,-0.1921,-0.1873,-0.1807,0.083,0.1844,0.267,0.3374,0.2113,0.1236,-0.0583
3293,C29,766.9000244,1080.28,0.3812,0.007384,-0.003233,0.004151,14.1000004,34.7000008,88,93,125,87,-0.1947,-0.1985,-0.1879,0.069,0.1844,0.2449,0.3455,0.2056,0.1412,-0.0631
3321,C29,923.2000122,1080.13,0.1609,0.017956,-0.015608,0.002348,24.1000004,39.2000008,92,82,106,78,-0.1822,-0.1858,-0.169,0.1163,0.1446,0.3702,0.4868,0.4043,0.1765,-0.0707
3322,C29,1008.099976,1080.15,0.051,-0.005683,0.002659,-0.003025,24.8999996,38.2000008,96,84,113,76,-0.2043,-0.1913,-0.1733,0.1296,0.2316,0.3297,0.4362,0.4098,0.1465,-0.0891
