,ID,FIELD,YLD03,ELE,SLOPE,CURV,PRO,PLAN,EC_SH,EC_DP,BAND1,BAND2,BAND3,BAND4,VI01_616,VI01_624,VI01_710,VI01_827,VI01_912
22,3075,C29,1365,1080.01,0.1702,-0.015613,0.007941,-0.007672,19.3999996,44.0,94,82,106,74,-0.1944,-0.166,0.0415,0.4819,0.3511
23,3076,C29,1257,1080.11,0.1829,0.009218,-0.00792,0.001298,17.2000008,36.5,92,86,106,76,-0.2018,-0.175,0.0411,0.466,0.288
24,3077,C29,1282,1080.15,0.0581,0.000272,0.001581,0.001854,19.0,37.7000008,90,84,107,75,-0.2072,-0.1918,0.0415,0.5183,0.3511
25,3078,C29,1219,1080.16,0.0699,-0.00861,0.00562,-0.002991,19.6000004,35.7999992,92,85,110,77,-0.2,-0.1967,0.0502,0.5204,0.3656
26,3079,C29,1251,1080.19,0.0916,-0.011649,0.006901,-0.004747,18.7000008,34.7000008,94,86,115,80,-0.2054,-0.1799,0.0446,0.5258,0.3057
27,3080,C29,1179,1080.25,0.1588,-0.008688,0.003831,-0.004857,19.3999996,35.2999992,94,84,122,82,-0.2124,-0.1984,0.04,0.4721,0.3476
28,3081,C29,1131,1080.33,0.165,0.002657,-0.001599,0.001058,17.2999992,33.9000015,96,85,123,82,-0.2105,-0.1807,0.0268,0.5079,0.3026
29,3082,C29,1189,1080.4,0.111,0.010541,-0.004673,0.005868,16.5,34.0,94,87,122,85,-0.2159,-0.187,0.0308,0.4555,0.3651
30,3083,C29,1216,1080.43,0.0624,0.004441,-0.002809,0.001633,15.3999996,30.899999600000005,92,92,124,84,-0.2159,-0.1968,0.0396,0.4286,0.3299
31,3084,C29,1106,1080.45,0.0889,-0.003815,0.002993,-0.000822,14.0,32.4000015,92,94,129,86,-0.2124,-0.166,0.0354,0.4508,0.3061
32,3085,C29,1108,1080.52,0.2086,-0.003706,0.003509,-0.000196,11.8000002,32.799999199999995,92,89,131,89,-0.2105,-0.1873,0.0043,0.4346,0.2451
33,3086,C29,1196,1080.62,0.143,0.009233,-0.008218,0.001015,11.1999998,28.600000399999995,90,89,134,87,-0.2121,-0.1811,-0.0172,0.3927,0.2626
34,3108,C29,1238,1079.99,0.0962,0.007153,-0.004677,0.002475,22.0,54.29999920000001,96,85,114,76,-0.1963,-0.1709,0.0,0.4074,0.2103
35,3109,C29,1140,1080.01,0.1153,-0.001729,0.001473,-0.000255,21.7000008,42.7000008,94,85,111,76,-0.1831,-0.1709,0.0233,0.4404,0.2396
36,3110,C29,1292,1080.03,0.1323,-0.002725,0.001043,-0.001681,22.5,38.9000015,94,84,111,74,-0.1963,-0.1745,0.0137,0.5026,0.299
37,3111,C29,1230,1080.07,0.1908,-0.007868,0.004087,-0.003781,20.7000008,38.4000015,94,82,107,75,-0.1944,-0.1695,0.0521,0.4974,0.369
38,3112,C29,1105,1080.14,0.1583,0.004237,-0.007815,-0.003578,19.6000004,38.5,90,85,107,76,-0.2,-0.1784,0.0605,0.5026,0.3511
39,3113,C29,1146,1080.19,0.0862,0.007999,-0.005299,0.0027,20.0,40.4000015,90,86,112,76,-0.2054,-0.1784,0.0455,0.5258,0.3333
40,3114,C29,1121,1080.2,0.0841,0.012371,-0.009398,0.002972,21.2000008,40.0999985,90,85,111,76,-0.2127,-0.1818,0.0599,0.513,0.3736
41,3115,C29,1096,1080.23,0.1065,0.008273,-0.002672,0.005601,20.8999996,38.9000015,94,88,116,81,-0.2108,-0.1833,0.0507,0.466,0.3228
42,3116,C29,1000,1080.28,0.148,0.006866,-0.000471,0.006396,19.7999992,36.4000015,94,85,121,81,-0.2,-0.1918,0.0354,0.466,0.3229
43,3117,C29,960,1080.36,0.1533,0.005698,-0.001498,0.004201,18.3999996,35.5999985,90,85,121,82,-0.2105,-0.192,0.0174,0.4555,0.3061
44,3118,C29,969,1080.42,0.0889,0.00436,-0.004551,-0.000192,17.7999992,34.7999992,90,84,123,83,-0.2054,-0.184,0.0442,0.4872,0.3061
45,3119,C29,1120,1080.45,0.0681,-0.002718,0.001724,-0.000994,15.8999996,30.2000008,88,86,120,84,-0.207,-0.1822,0.0351,0.4688,0.3684
46,3120,C29,1180,1080.48,0.1188,-0.007084,0.006619,-0.000465,15.3999996,28.899999600000005,92,87,124,84,-0.2052,-0.1741,0.0215,0.4508,0.28
47,3121,C29,1138,1080.56,0.2456,-0.010288,0.005975,-0.004312,13.800000199999998,28.100000399999995,96,92,132,88,-0.2105,-0.1969,-0.0043,0.3854,0.2293
48,3122,C29,1082,1080.66,0.1641,0.008801,-0.003472,0.005329,12.5,30.7999992,94,92,139,87,-0.2121,-0.184,0.0043,0.3723,0.2
49,3123,C29,1041,1080.68,0.1087,-0.002337,0.00294,0.000604,13.3999996,30.2999992,90,88,135,89,-0.2174,-0.184,-0.0043,0.3368,0.2057
50,3147,C29,1131,1080.02,0.1013,-0.007349,0.002136,-0.005213,23.7000008,39.2999992,96,85,107,76,-0.1944,-0.1745,-0.0135,0.4194,0.1777
51,3148,C29,1195,1080.06,0.1186,-0.003597,0.004722,0.001125,22.3999996,39.9000015,96,85,115,76,-0.2018,-0.1849,0.023,0.4404,0.2245
52,3149,C29,1096,1080.1,0.1859,-0.000747,0.000297,-0.000451,21.5,41.5999985,92,82,114,76,-0.2018,-0.1883,0.0183,0.4747,0.3158
53,3150,C29,1176,1080.15,0.1308,0.018392,-0.014144,0.004249,21.8999996,41.5999985,92,83,111,76,-0.2018,-0.1674,0.0183,0.5337,0.3548
54,3151,C29,1174,1080.17,0.0693,0.010526,-0.007349,0.003176,21.7000008,42.2000008,90,85,108,76,-0.2055,-0.1867,0.0459,0.5179,0.3333
55,3152,C29,1140,1080.18,0.0833,0.000136,3.2e-05,0.000168,22.1000004,39.7000008,88,88,111,76,-0.2018,-0.1818,0.0648,0.5204,0.3583
56,3153,C29,1168,1080.18,0.0869,-0.0071,0.002694,-0.004406,22.1000004,38.5,88,83,112,76,-0.2018,-0.1784,0.055,0.5208,0.3514
57,3154,C29,1056,1080.22,0.1077,-0.010177,0.001718,-0.008459,19.0,35.4000015,90,84,115,79,-0.2054,-0.1837,0.0545,0.5026,0.3333
58,3155,C29,1085,1080.28,0.1313,-0.007271,0.002387,-0.004884,18.2999992,32.799999199999995,88,85,111,80,-0.2124,-0.1789,0.0493,0.4974,0.3514
59,3156,C29,1021,1080.35,0.1614,-0.002534,0.001042,-0.001492,18.7999992,32.9000015,88,85,119,82,-0.2124,-0.1774,0.04,0.4619,0.3545
60,3157,C29,994,1080.43,0.1236,0.00464,-0.003577,0.001063,19.2999992,33.7000008,92,87,123,82,-0.2,-0.1793,0.0351,0.4694,0.2923
61,3158,C29,1090,1080.48,0.1175,0.001717,0.003127,0.004844,16.2999992,31.399999600000005,92,84,121,84,-0.2,-0.1873,0.0442,0.4315,0.2995
62,3159,C29,1016,1080.54,0.1838,-0.000888,0.003221,0.002334,15.300000199999998,29.2000008,90,90,125,85,-0.207,-0.1825,-0.0043,0.4348,0.2488
63,3160,C29,1002,1080.63,0.2638,0.001376,-0.000278,0.001098,14.0,28.100000399999995,94,93,131,88,-0.2121,-0.1858,-0.0043,0.3968,0.233
64,3161,C29,1126,1080.73,0.1602,0.019245,-0.008423,0.010822,14.0,25.7000008,94,93,140,88,-0.2121,-0.1727,-0.0043,0.3757,0.2174
65,3162,C29,1042,1080.73,0.0987,0.002371,-0.000956,0.001415,14.699999800000002,30.2999992,92,92,135,88,-0.2018,-0.1922,-0.0211,0.3368,0.1831
66,3163,C29,841,1080.71,0.1015,0.014823,-0.003769,0.011054,13.1000004,29.600000399999995,96,93,139,91,-0.2121,-0.1937,-0.042,0.2487,0.1211
67,3187,C29,1067,1080.07,0.1851,-0.003937,0.004221,0.000284,23.7000008,40.5999985,92,85,111,76,-0.1944,-0.1745,0.0138,0.3946,0.1979
68,3188,C29,1041,1080.12,0.1539,0.010562,-0.008498,0.002064,22.5,40.4000015,90,89,111,78,-0.211,-0.1814,0.009,0.4611,0.2205
69,3189,C29,1138,1080.14,0.0716,0.011499,-0.008518,0.002981,23.2999992,43.5999985,94,85,107,76,-0.2074,-0.1967,0.0137,0.5026,0.288
70,3190,C29,1070,1080.14,0.0902,-0.002253,-0.001272,-0.003525,24.0,41.2999992,92,85,111,74,-0.2055,-0.1933,0.0323,0.5052,0.3298
71,3191,C29,1026,1080.15,0.0811,-0.009251,0.002281,-0.00697,23.1000004,37.7000008,92,84,110,76,-0.2127,-0.1799,0.0459,0.513,0.3158
72,3192,C29,1125,1080.17,0.0582,-0.004959,0.005275,0.000316,21.8999996,39.0,90,84,112,76,-0.2018,-0.1918,0.0648,0.5052,0.377
73,3193,C29,1163,1080.19,0.0927,-0.010014,0.005935,-0.004079,18.5,35.5999985,90,84,116,77,-0.2054,-0.187,0.0493,0.5208,0.3368
74,3194,C29,1020,1080.23,0.135,-0.00627,0.003166,-0.003104,17.3999996,33.7999992,88,85,115,78,-0.2054,-0.1873,0.0493,0.4721,0.3333
75,3195,C29,1048,1080.29,0.1479,-0.009019,0.004583,-0.004436,17.2999992,31.0,86,85,117,81,-0.2105,-0.1807,0.0446,0.5026,0.3155
76,3196,C29,1056,1080.36,0.1714,-0.00875,0.000992,-0.007758,17.3999996,31.2999992,88,87,121,81,-0.2018,-0.1873,0.0396,0.5132,0.3298
77,3197,C29,986,1080.43,0.1418,-0.003215,-0.00152,-0.004735,16.2999992,30.100000399999995,92,90,126,80,-0.2018,-0.1855,0.0129,0.4256,0.2727
78,3198,C29,1029,1080.5,0.1484,-0.006032,0.002762,-0.00327,15.0,28.2000008,88,88,125,83,-0.2,-0.1825,0.0043,0.4315,0.2764
79,3199,C29,978,1080.58,0.1938,0.001267,0.001152,0.002419,14.699999800000002,28.600000399999995,92,94,130,86,-0.2052,-0.189,-0.0043,0.4021,0.2233
80,3200,C29,932,1080.68,0.2045,0.006151,-0.003286,0.002865,14.199999800000002,28.7000008,94,94,134,90,-0.2052,-0.1694,0.0218,0.4074,0.2451
81,3201,C29,955,1080.76,0.0935,0.020708,-0.008569,0.012139,13.8999996,25.8999996,98,94,133,86,-0.2052,-0.1746,-0.0085,0.3684,0.2367
82,3202,C29,1075,1080.75,0.0991,0.014639,-0.007146,0.007493,15.0,26.0,92,94,131,88,-0.2052,-0.1907,-0.0464,0.3757,0.2451
83,3203,C29,780,1080.69,0.1963,0.005736,-0.006734,-0.000998,14.8999996,30.7999992,96,93,146,95,-0.2208,-0.2016,-0.0688,0.2929,0.1831
84,3204,C29,885,1080.58,0.2843,0.009215,-0.006397,0.002818,13.800000199999998,27.0,94,96,139,93,-0.2203,-0.1907,-0.0488,0.2755,0.1776
85,3230,C29,1053,1080.14,0.1898,0.018093,-0.009934,0.008158,23.3999996,40.0,94,85,107,78,-0.2018,-0.1814,0.0092,0.4043,0.2083
86,3231,C29,994,1080.16,0.074,0.011512,-0.007553,0.00396,22.7999992,38.0999985,96,85,111,76,-0.1944,-0.173,0.0045,0.4362,0.2642
87,3232,C29,1166,1080.12,0.0855,-0.011693,0.005711,-0.005982,23.1000004,38.4000015,94,85,112,76,-0.2055,-0.1899,0.0183,0.4742,0.3057
88,3233,C29,1163,1080.12,0.0679,-0.006403,0.004202,-0.002201,21.8999996,36.4000015,88,82,112,76,-0.2055,-0.1814,0.0323,0.5155,0.3228
89,3234,C29,1057,1080.16,0.11,-0.003659,0.004402,0.000743,22.0,37.7000008,94,82,108,76,-0.2055,-0.1883,0.032,0.5104,0.3158
90,3235,C29,995,1080.2,0.1277,-0.004346,0.005308,0.000961,21.2999992,38.7999992,92,85,115,78,-0.2127,-0.1885,0.0545,0.4872,0.3158
91,3236,C29,1040,1080.24,0.1675,-0.003441,0.001969,-0.001472,21.3999996,39.7999992,88,89,115,80,-0.2018,-0.1799,0.0357,0.5052,0.3263
92,3237,C29,926,1080.3,0.1891,0.00579,-0.001842,0.003949,20.7000008,36.0999985,90,85,115,81,-0.2054,-0.2,0.0354,0.5,0.2947
93,3238,C29,814,1080.36,0.2106,-0.000171,0.000915,0.000744,21.2000008,35.7999992,92,84,129,83,-0.2227,-0.2,0.0442,0.4715,0.3118
94,3239,C29,815,1080.43,0.2101,-0.000722,0.000162,-0.00056,20.8999996,33.200000800000005,90,87,124,81,-0.2105,-0.1905,0.0261,0.4536,0.3026
95,3240,C29,908,1080.48,0.1675,-0.001074,-0.000945,-0.002019,18.2000008,32.5,88,87,125,82,-0.2159,-0.2063,0.0174,0.445,0.2293
96,3241,C29,982,1080.54,0.1652,-0.006676,0.001455,-0.005221,15.800000199999998,30.100000399999995,88,86,130,81,-0.2105,-0.1922,-0.0168,0.4421,0.2271
97,3242,C29,941,1080.62,0.1753,0.006088,-0.003057,0.003031,14.800000199999998,27.7000008,94,90,128,84,-0.2121,-0.2,0.0,0.4021,0.2475
98,3243,C29,947,1080.69,0.1192,0.010858,-0.002986,0.007872,15.199999800000002,27.2999992,88,91,133,88,-0.2121,-0.1793,-0.0043,0.4021,0.2233
99,3244,C29,990,1080.72,0.1012,0.005045,0.000395,0.00544,13.800000199999998,26.2999992,92,89,131,87,-0.2121,-0.1905,-0.025,0.3886,0.2212
100,3245,C29,966,1080.7,0.1268,0.006376,-0.002294,0.004082,13.3999996,25.1000004,90,89,134,88,-0.2155,-0.1843,-0.025,0.3978,0.2095
101,3246,C29,1080,1080.64,0.2106,0.003036,-0.003459,-0.000423,14.8999996,25.6000004,90,93,140,89,-0.2222,-0.1875,-0.0526,0.2929,0.2095
102,3247,C29,878,1080.52,0.2824,0.008515,-0.007757,0.000758,14.3999996,33.7000008,92,93,139,88,-0.2269,-0.2031,-0.0645,0.2965,0.1814
103,3248,C29,944,1080.35,0.4306,0.009622,-0.006315,0.003307,14.0,25.8999996,90,92,138,91,-0.2222,-0.1875,-0.0293,0.3514,0.2136
104,3275,C29,1132,1080.16,0.088,0.018324,-0.011909,0.006415,23.8999996,39.4000015,94,85,106,76,-0.1944,-0.1745,0.0046,0.3862,0.1837
105,3276,C29,855,1080.15,0.0489,-0.003219,0.002007,-0.001212,22.3999996,36.5999985,98,85,110,76,-0.2018,-0.1845,0.0045,0.4239,0.2356
106,3277,C29,1071,1080.14,0.057,-0.001853,-0.000712,-0.002565,19.1000004,35.0,92,85,115,78,-0.2055,-0.1799,0.0228,0.4688,0.25
107,3278,C29,1063,1080.14,0.0927,-0.010884,0.008005,-0.002879,22.5,43.0,90,85,115,78,-0.2055,-0.1849,0.0367,0.5026,0.3118
108,3279,C29,1036,1080.2,0.1847,-0.000627,0.001539,0.000912,22.2000008,40.5999985,88,85,116,78,-0.2055,-0.195,0.0273,0.4819,0.2842
109,3280,C29,998,1080.27,0.1245,0.016558,-0.009734,0.006824,19.6000004,36.0999985,88,85,117,79,-0.2055,-0.1885,0.0314,0.4792,0.2947
110,3281,C29,1015,1080.29,0.084,0.000409,-0.001316,-0.000907,20.7999992,36.2999992,88,84,115,80,-0.2054,-0.2,0.0545,0.5104,0.3118
111,3282,C29,919,1080.34,0.1378,-0.002539,0.003824,0.001284,20.1000004,34.0,92,87,120,82,-0.2159,-0.1935,0.0174,0.4845,0.2737
112,3283,C29,825,1080.42,0.1674,0.005504,-2.7e-05,0.005477,19.6000004,32.700000800000005,92,87,126,84,-0.2227,-0.1952,0.0174,0.4737,0.268
113,3284,C29,837,1080.5,0.1616,0.015974,-0.004098,0.011876,18.2999992,32.799999199999995,92,85,124,83,-0.2227,-0.1984,0.0218,0.4764,0.299
114,3285,C29,830,1080.56,0.1411,0.013896,-0.003913,0.009983,17.3999996,31.100000399999995,92,84,120,85,-0.2105,-0.2063,0.0043,0.4421,0.2376
115,3286,C29,814,1080.59,0.117,0.002611,-0.004467,-0.001857,16.7000008,29.0,90,87,129,85,-0.2155,-0.1984,-0.0085,0.3918,0.2475
116,3287,C29,974,1080.63,0.0995,-0.003801,-0.000411,-0.004212,15.6000004,28.7000008,94,89,127,84,-0.2155,-0.1922,-0.0043,0.3846,0.2095
117,3288,C29,856,1080.67,0.0854,0.002217,0.000559,0.002776,14.8999996,26.899999600000005,88,86,125,82,-0.2155,-0.1825,-0.0085,0.4063,0.233
118,3289,C29,937,1080.68,0.0771,0.002275,-0.001383,0.000893,15.5,26.0,92,91,131,87,-0.2121,-0.1937,-0.029,0.3895,0.2451
119,3290,C29,934,1080.67,0.1029,0.008965,-0.004803,0.004161,14.800000199999998,25.5,90,90,132,87,-0.2155,-0.1953,-0.0168,0.3782,0.2174
120,3291,C29,1029,1080.59,0.2261,0.010477,-0.009085,0.001392,15.300000199999998,25.0,90,85,128,84,-0.2155,-0.1984,-0.037,0.3436,0.2293
121,3292,C29,1030,1080.45,0.3386,0.000572,-0.003673,-0.003101,15.3999996,36.0,92,95,131,86,-0.2255,-0.2,-0.029,0.3368,0.2136
122,3293,C29,1043,1080.28,0.3812,0.007384,-0.003233,0.004151,14.1000004,34.7000008,88,93,125,87,-0.2222,-0.1922,-0.0331,0.3651,0.2019
123,3321,C29,1274,1080.13,0.1609,0.017956,-0.015608,0.002348,24.1000004,39.2000008,92,82,106,78,-0.1707,-0.1883,0.014,0.3763,0.1735
124,3322,C29,953,1080.15,0.051,-0.005683,0.002659,-0.003025,24.8999996,38.2000008,96,84,113,76,-0.2018,-0.1765,-0.0046,0.3804,0.1837
125,3323,C29,941,1080.16,0.0433,0.002003,0.000321,0.002324,22.3999996,35.7999992,94,85,115,77,-0.2055,-0.175,0.023,0.4392,0.1735
126,3324,C29,921,1080.16,0.0715,-0.007053,0.00317,-0.003883,21.1000004,40.2999992,92,85,116,82,-0.2072,-0.1901,0.0136,0.5161,0.2396
127,3325,C29,982,1080.19,0.1383,-0.00015,-0.001625,-0.001775,22.1000004,40.0,90,86,117,79,-0.2,-0.1833,0.0045,0.4764,0.2604
128,3326,C29,1082,1080.23,0.099,0.005995,-0.00025,0.005745,21.0,38.5999985,90,85,113,77,-0.2055,-0.1833,0.0273,0.4839,0.2565
129,3327,C29,869,1080.26,0.1083,0.001117,-0.002683,-0.001566,20.5,35.0,86,84,117,79,-0.2054,-0.1983,0.0226,0.4947,0.2973
130,3328,C29,853,1080.3,0.1063,-0.007707,0.00792,0.000213,19.6000004,34.7999992,86,84,115,79,-0.2124,-0.1984,0.0545,0.4921,0.2698
131,3329,C29,811,1080.36,0.1367,0.00455,-0.001162,0.003388,18.6000004,33.5999985,90,87,119,80,-0.2105,-0.2032,0.0174,0.4921,0.2737
132,3330,C29,767,1080.43,0.1151,0.005387,-0.001413,0.003974,18.2999992,31.100000399999995,90,90,120,80,-0.2174,-0.2016,0.0174,0.4764,0.3229
133,3331,C29,669,1080.49,0.1345,-0.000109,0.004094,0.003985,17.5,30.7999992,92,86,123,83,-0.2174,-0.1984,0.0043,0.4479,0.25
134,3332,C29,770,1080.55,0.1801,0.006648,-0.00276,0.003888,17.7999992,31.100000399999995,92,84,116,83,-0.2052,-0.1873,0.0043,0.3744,0.2174
135,3333,C29,870,1080.61,0.1227,0.020763,-0.012715,0.008048,16.600000400000003,30.5,88,89,122,84,-0.2121,-0.1873,-0.0043,0.3958,0.2178
136,3334,C29,780,1080.63,0.0753,0.013671,-0.008391,0.00528,16.399999599999997,29.100000399999995,90,90,128,83,-0.2121,-0.2031,-0.0043,0.4031,0.2512
137,3335,C29,989,1080.62,0.1137,0.001567,-0.0042,-0.002633,15.800000199999998,28.7999992,90,84,123,83,-0.2103,-0.1953,-0.0043,0.3936,0.2512
138,3336,C29,1154,1080.63,0.1107,0.003441,-0.00164,0.001801,14.199999800000002,26.7000008,88,93,126,87,-0.2,-0.1953,-0.0128,0.3927,0.2255
139,3337,C29,963,1080.62,0.1393,0.012016,-0.005533,0.006483,15.199999800000002,26.5,88,91,135,89,-0.2155,-0.1953,-0.0211,0.4225,0.2376
140,3338,C29,995,1080.54,0.2643,0.008906,-0.005171,0.003736,15.0,24.7000008,90,88,128,84,-0.2155,-0.1793,-0.0168,0.3822,0.2293
141,3339,C29,1010,1080.39,0.3465,0.00421,-0.002877,0.001333,15.8999996,26.1000004,88,93,130,86,-0.2222,-0.2016,-0.029,0.3822,0.2438
142,3340,C29,1050,1080.22,0.3403,-0.00042,-0.001757,-0.002177,14.1000004,42.5999985,88,93,126,85,-0.2255,-0.1825,-0.0211,0.3717,0.1792
143,3341,C29,1049,1080.02,0.4742,0.007943,-0.006375,0.001568,14.300000199999998,29.7999992,96,92,138,90,-0.2103,-0.1843,-0.042,0.375,0.0995
144,3367,C29,1021,1080.08,0.3367,-0.009215,0.003639,-0.005576,22.5,34.2000008,88,85,116,76,-0.1907,-0.1864,-0.005,0.3552,0.1782
145,3371,C29,967,1080.16,0.0665,0.007093,-0.009507,-0.002414,25.5,45.2999992,96,87,113,77,-0.2108,-0.2,0.009,0.2979,0.1028
146,3372,C29,893,1080.16,0.0433,-0.005422,0.003243,-0.002179,28.100000399999995,43.2999992,94,89,114,79,-0.2055,-0.195,0.009,0.3016,0.108
147,3373,C29,854,1080.18,0.0616,-0.001812,0.002807,0.000995,23.6000004,36.7999992,92,89,121,82,-0.2072,-0.1967,0.0182,0.3936,0.1038
148,3374,C29,769,1080.21,0.1234,0.000654,0.000271,0.000925,23.3999996,37.5999985,90,89,127,82,-0.2054,-0.1901,0.0182,0.4301,0.1121
149,3375,C29,1001,1080.23,0.0783,0.012887,-0.007419,0.005467,21.3999996,35.9000015,90,90,127,83,-0.2054,-0.1983,-0.0045,0.4421,0.2604
150,3376,C29,857,1080.21,0.0675,-0.013297,0.004617,-0.00868,24.2000008,36.4000015,88,84,111,78,-0.2055,-0.1949,0.0183,0.4468,0.2727
151,3377,C29,935,1080.25,0.1154,-0.000191,0.000629,0.000438,25.7000008,38.5,84,82,107,75,-0.2127,-0.1833,0.0137,0.4409,0.2541
152,3378,C29,790,1080.3,0.1205,0.012398,-0.002202,0.010196,25.2000008,38.2999992,82,84,114,75,-0.2124,-0.1935,0.045,0.4921,0.2083
153,3379,C29,707,1080.35,0.1599,0.005102,-0.001252,0.00385,23.5,37.2000008,86,84,115,77,-0.2105,-0.184,0.0308,0.4737,0.2526
154,3380,C29,671,1080.4,0.1633,0.011144,-0.006101,0.005044,22.2000008,36.2000008,92,87,119,79,-0.2174,-0.184,0.0354,0.4688,0.2577
155,3381,C29,719,1080.44,0.1333,0.00596,-0.003633,0.002328,20.2000008,33.0,88,86,124,80,-0.2227,-0.1858,0.0086,0.4316,0.2475
156,3382,C29,762,1080.47,0.1636,-0.003311,0.004758,0.001447,20.8999996,32.799999199999995,90,85,120,82,-0.2174,-0.189,0.0043,0.4409,0.2376
157,3383,C29,774,1080.52,0.2339,-0.001168,0.00125,8.2e-05,20.1000004,31.399999600000005,90,86,122,82,-0.2121,-0.2031,0.0,0.4286,0.202
158,3384,C29,963,1080.56,0.1798,0.00861,-0.00358,0.00503,18.1000004,29.7999992,86,86,121,81,-0.2121,-0.1905,0.0,0.4021,0.2118
159,3385,C29,1075,1080.56,0.1306,-0.005221,0.002272,-0.002949,17.7000008,28.2000008,88,84,122,82,-0.2103,-0.1969,-0.0127,0.4194,0.2255
160,3386,C29,1083,1080.57,0.1415,0.005736,-0.002255,0.003481,14.5,25.7000008,90,86,123,86,-0.2103,-0.1858,-0.0085,0.3927,0.2362
161,3387,C29,946,1080.55,0.2072,0.013721,-0.007608,0.006113,14.800000199999998,25.7000008,88,85,127,87,-0.2121,-0.1969,-0.0254,0.4051,0.2293
162,3388,C29,939,1080.46,0.2773,0.005858,-0.000832,0.005026,14.6000004,25.2999992,86,89,127,85,-0.2121,-0.1873,-0.0211,0.4074,0.3229
163,3389,C29,1018,1080.33,0.3104,0.006199,-0.002695,0.003504,15.199999800000002,25.3999996,88,86,130,82,-0.2121,-0.1907,-0.029,0.427,0.2414
164,3390,C29,1021,1080.17,0.3443,0.000395,-0.002268,-0.001873,14.5,36.0,90,87,132,83,-0.2203,-0.1797,-0.0168,0.375,0.2451
