,,,,,,Dewpoint (degree C)                    ,,,Rainfall (Inches),Relativehumidity (%)             ,,,Solarradiation (W/m^2)                ,,,"Stationpressure (mb, hpa)              ",,,temperature_2  (Degree C)               ,,,windspeed_2 (m/sec)                  ,,
2001,61,3/2/2001,3,2,3,5.331,2.7771875,0.628,0,93.7,75.84836806,51.34,-88.88,-88.88,-88.88,895.5,893.61875,891.3,-88.88,-88.88,-88.88,3.923,1.102927083,0
2001,62,3/3/2001,3,3,3,5.56,3.470270833,-0.413,0,99.6,76.71711806,35.93,-88.88,-88.88,-88.88,894.8,891.0461806,888.5,-88.88,-88.88,-88.88,6.4,1.730121528,0
2001,63,3/4/2001,3,4,3,5.45,2.286552083,-1.744,0,99.7,71.13013889,31.38,-88.88,-88.88,-88.88,908,903.4409722,894.9,-88.88,-88.88,-88.88,5.123,2.132069444,0
2001,64,3/5/2001,3,5,3,3.924,-0.385854167,-3.02,0,92.4,56.45413194,23.22,-88.88,-88.88,-88.88,909.7,907.4947917,905.3,-88.88,-88.88,-88.88,6.805,2.554253472,0
2001,65,3/6/2001,3,6,3,4.438,2.270197917,-0.385,0,82.9,58.85663194,33,-88.88,-88.88,-88.88,905.5,903.5302083,901.1,-88.88,-88.88,-88.88,5.828,2.258069444,0
2001,66,3/7/2001,3,7,3,7.16,4.327326389,1.946,0,98.9,79.02565972,54.91,-88.88,-88.88,-88.88,906.4,903.2111111,900.4,-88.88,-88.88,-88.88,6.098,3.949506944,0
2001,67,3/8/2001,3,8,3,6.978,4.2293125,3.384,0,100,96.64965278,84.6,-88.88,-88.88,-88.88,903.7,898.9798611,895,-88.88,-88.88,-88.88,10,5.92271875,1.705
2001,68,3/9/2001,3,9,3,6.742,4.452038194,1.254,0,100,88.55625,73.3,-88.88,-88.88,-88.88,904.2,900.9552083,896.6,-88.88,-88.88,-88.88,6.143,3.245534722,0
2001,69,3/10/2001,3,10,3,10.57,6.754916667,3.441,0,99.9,91.55,71.4,-88.88,-88.88,-88.88,896.5,891.8340278,888,-88.88,-88.88,-88.88,6.7,4.370864583,1.637
2001,70,3/11/2001,3,11,3,7.78,3.770489583,-0.16,0,100,78.08590278,36.58,-88.88,-88.88,-88.88,892.8,890.6583333,888.7,-88.88,-88.88,-88.88,10.58,3.269875,0.146
2001,71,3/12/2001,3,12,3,4.452,0.874392361,-4.636,0,100,62.77434028,21.62,-88.88,-88.88,-88.88,896.9,893.0416667,889.9,-88.88,-88.88,-88.88,10.06,4.177072917,0.122
2001,72,3/13/2001,3,13,3,3.373,-0.494503472,-7.37,0,93.1,55.49055556,14.64,-88.88,-88.88,-88.88,899.2,896.3631944,892.7,-88.88,-88.88,-88.88,8.3,3.540638889,0
2001,73,3/14/2001,3,14,3,4.439,0.397434028,-8.83,0,76.6,47.40097222,16.53,-88.88,-88.88,-88.88,892.6,887.5086806,883.9,-88.88,-88.88,-88.88,10.34,4.913125,0.091
2001,74,3/15/2001,3,15,3,1.356,-3.923920139,-9.74,0,76.1,51.83739583,27.99,-88.88,-88.88,-88.88,901.5,895.9944444,890.5,-88.88,-88.88,-88.88,13.51,6.612552083,1.25
2001,75,3/16/2001,3,16,3,-3.255,-4.844826389,-7.02,0,86.7,59.11930556,29.85,-88.88,-88.88,-88.88,903.6,901.0263889,898.4,-88.88,-88.88,-88.88,5.718,2.673663194,0
2001,76,3/17/2001,3,17,3,2.124,-1.291246528,-3.427,0,100,72.08041667,53.02,-88.88,-88.88,-88.88,904.7,901.5895833,898.9,-88.88,-88.88,-88.88,9.79,5.186100694,1.262
2001,77,3/18/2001,3,18,3,3.726,1.668225694,-0.15,0,100,99.37326389,95.8,-88.88,-88.88,-88.88,905.5,903.8149306,902.6,-88.88,-88.88,-88.88,4.02,1.931138889,0.009
2001,78,3/19/2001,3,19,3,3.457,1.379538194,-1.947,0.63,100,73.49854167,35.67,-88.88,-88.88,-88.88,907.7,905.8756944,904.8,-88.88,-88.88,-88.88,5.208,2.442458333,0
2001,79,3/20/2001,3,20,3,4.332,1.651763889,-1.17,0,100,62.07902778,22.59,-88.88,-88.88,-88.88,905.6,903.4795139,901,-88.88,-88.88,-88.88,5.963,2.157899306,0
2001,80,3/21/2001,3,21,3,5.227,1.886378472,-2.21,0.02,94.3,48.95270833,15,-88.88,-88.88,-88.88,902.7,899.1517361,895.5,-88.88,-88.88,-88.88,7.55,3.613114583,0
2001,81,3/22/2001,3,22,3,8.18,5.716673611,2.185,0,85.7,57.64677083,35.13,-88.88,-88.88,-88.88,901,898.2527778,895.6,-88.88,-88.88,-88.88,7.63,4.064381944,0
2001,82,3/23/2001,3,23,3,10.24,7.126159722,4.146,0,98.6,68.01777778,34.3,-88.88,-88.88,-88.88,902.3,899.4354167,896.8,-88.88,-88.88,-88.88,10.01,2.733940972,0
2001,83,3/24/2001,3,24,3,9.11,2.672513889,-0.659,0,100,91.53055556,72.1,-88.88,-88.88,-88.88,909.4,906.4576389,899.9,-88.88,-88.88,-88.88,8.18,5.054135417,1.075
2001,84,3/25/2001,3,25,3,1.675,-1.24025,-4.564,0,84.1,72.45694444,64.2,-88.88,-88.88,-88.88,909.1,906.690625,904,-88.88,-88.88,-88.88,6.498,3.365447917,1.497
2001,85,3/26/2001,3,26,3,-0.521,-1.615260417,-3.507,0,100,96.28229167,77.7,-88.88,-88.88,-88.88,906.9,904.9256944,902.3,-88.88,-88.88,-88.88,5.243,3.531805556,1.825
2001,86,3/27/2001,3,27,3,2.007,0.365111111,-1.393,0,100,99.62152778,97.8,-88.88,-88.88,-88.88,903.5,900.8875,898.5,-88.88,-88.88,-88.88,3.425,1.978732639,0.73
2001,87,3/28/2001,3,28,3,5.98,3.514513889,1.527,0,100,91.840625,75.4,280,-36.87307292,-88.88,900,894.7527778,890.4,8.9,-54.11692014,-88.88,3.93,1.675447917,0
2001,88,3/29/2001,3,29,3,8.5,6.052815972,4.107,0,100,82.03392361,46.87,926,218.5292118,0,894.2,892.7170139,890.6,16,9.607572917,4.39,4.178,1.482920139,0
2001,89,3/30/2001,3,30,3,9.47,7.757388889,6.315,0,100,84.54572917,50.35,997,130.5961215,0,895,893.6378472,891.4,16.46,10.726875,7.53,4.243,2.173795139,0
2001,90,3/31/2001,3,31,3,7.59,6.213579861,4.281,0,100,83.83270833,58.97,1083,222.7068438,0,902.4,899.0013889,894.6,14.14,9.165,4.783,7.94,2.9755,0
2001,91,4/1/2001,4,1,3,11.64,5.926791667,-1.648,0,99,63.57131944,15.22,966,240.6444618,0,898,892.5743056,888.5,26.93,15.52522917,5.939,7.43,4.482670139,1.422
2001,92,4/2/2001,4,2,3,13.96,6.498350694,-0.529,0,99.4,53.57722222,15.44,950,269.0085,0,891.3,889.8079861,888.3,28.2,18.99822917,11.85,6.703,4.223958333,1.135
2001,93,4/3/2001,4,3,3,5.674,2.100826389,-0.48,0,62.87,35.21149306,15.94,989,259.9272396,0,897,894.1618056,890.4,28.45,18.90868056,10.2,6.018,2.612065972,0
2001,94,4/4/2001,4,4,3,18.6,6.795319444,1.008,0,97.1,48.02243056,16.6,936,263.7998611,0,899.3,897.7076389,895.7,30.15,20.40854167,8.57,6.248,3.085368056,0.009
2001,95,4/5/2001,4,5,3,18.42,16.74586806,13.82,0,100,85.1865625,57.04,845,145.4507118,0,899.2,896.8878472,894.6,24.52,19.80302083,16.37,5.288,3.117267361,0.815
2001,96,4/6/2001,4,6,3,17.88,12.44134722,-2.008,0,96.5,72.73409722,28.08,697.3,123.1069653,0,895.4,890.6371528,882.9,24.14,18.22680556,11.56,13.79,6.34921875,1.65
2001,97,4/7/2001,4,7,3,2.295,-1.089378472,-6.295,0.06,69.61,37.79975694,13.03,942,306.4554826,0,898,896.1263889,894.5,23.88,15.27354861,6.323,8.2,5.071927083,1.715
2001,98,4/8/2001,4,8,3,13.53,0.416690972,-6.45,0,80.4,37.00385417,10.04,930,295.6512847,0,895.4,893.9048611,891.6,28.03,18.65736111,10.35,10.68,5.22875,1.685
2001,99,4/9/2001,4,9,3,15.32,1.001847222,-4.888,0,81.3,34.43368056,12.48,1011,262.9600521,0,896.3,894.1302083,891.4,27.28,19.23798611,8.77,5.048,2.922381944,0.026
2001,100,4/10/2001,4,10,3,16.56,12.6764375,-7.52,0.08,96.8,75.09458333,21.31,210.1,60.77978125,0,891.7,887.653125,881.9,22.66,18.24340278,10.51,13.27,4.795930556,1.45
2001,101,4/11/2001,4,11,3,0.467,-6.008166667,-9.97,0,60.79,29.81621528,12.24,932,300.8843924,0,897,889.3625,886.2,20.93,12.59096528,5.375,15.13,8.271770833,0.08
2001,102,4/12/2001,4,12,3,4.569,-0.220770833,-6.342,0,81.6,50.44559028,15.3,966,289.5903993,0,900.6,898.4885417,896.3,20.9,11.3921875,2.261,5.698,2.691545139,0
2001,103,4/13/2001,4,13,3,11.67,2.047024306,-5.809,0,100,51.99072917,12.69,968,299.9373785,0,902.9,900.7694444,899,24.89,15.67848958,4.152,4.988,2.519260417,0
2001,104,4/14/2001,4,14,3,16.73,7.354770833,-4.932,0,97.3,52.67097222,10.57,962,272.7211319,0,900.1,896.4802083,892.7,29.29,20.98819444,13.51,7.88,3.437048611,0
2001,105,4/15/2001,4,15,3,8.28,1.890409722,-7.82,0,91.8,42.54670139,17.82,935,302.9387743,0,904,901.5069444,896.2,21.8,15.98034722,8.47,7.83,3.87640625,1.119
2001,106,4/16/2001,4,16,3,10.64,5.635888889,0.934,0,88.9,62.34628472,48.8,1068,214.6637535,0,911,904.9111111,902.6,20.88,13.05836458,5.078,9.5,3.873479167,0
2001,107,4/17/2001,4,17,3,1.372,-4.678378472,-8.07,0,75,47.7465625,31.36,341.3,92.07134028,0,915.6,913.2364583,911.1,8.11,6.198423611,4.376,8.37,3.845826389,0.704
2001,108,4/18/2001,4,18,3,8.55,1.458160714,-7.01,0,70.3,47.27757143,37.1,938,224.1657893,0,911.7,905.0171429,898,21.3,12.656325,6.621,8.18,4.437239286,1.157
2001,109,4/19/2001,4,19,3,9.42,5.256357639,0.855,0,83.7,45.02958333,14.63,991,250.9996319,0,898,894.8340278,892.4,31.3,20.90552083,10.13,10.93,5.666090278,0.73
2001,110,4/20/2001,4,20,3,14.48,5.337857639,-3.396,0,94.6,44.57315972,12.58,988,231.4096667,0,895.6,893.7788194,890.7,29.89,21.45805556,10.84,9.91,4.403541667,0.168
2001,111,4/21/2001,4,21,3,16.95,11.49250347,-3.147,0,94.2,60.98208333,12.33,980,269.6336215,0,897.5,894.578125,891.1,30.55,21.6746875,13.26,10.06,5.147711806,0.597
2001,112,4/22/2001,4,22,3,16.27,1.237732639,-10.49,0,88,42.98635417,12.43,957,277.195816,0,899.5,893.1503472,889.6,21.48,17.64208333,8.03,15.1,7.218972222,0
2001,113,4/23/2001,4,23,3,-0.774,-2.226055556,-3.714,0,66.81,40.28475694,23.19,965,318.659809,0,908.4,905.5833333,899.6,18.79,11.61982292,3.918,6.453,3.232381944,0
2001,114,4/24/2001,4,24,3,1.241,-1.037375,-2.579,0,71.4,38.46190972,20.58,949,314.7541632,0,911,909.0163194,907,22.18,14.16495139,3.869,4.09,2.026135417,0
2001,115,4/25/2001,4,25,3,1.303,-0.516079861,-2.977,0,65.02,35.62892361,16.89,953,317.8817882,0,909.6,907.5708333,904.9,25.1,16.50717014,5.638,5.185,2.961361111,1.116
2001,116,4/26/2001,4,26,3,2.872,0.039670139,-2.254,0,65.1,33.70798611,15.86,955,318.9971493,0,906.6,904.6104167,902,26.13,17.848125,7.61,6.215,3.697447917,0.349
2001,117,4/27/2001,4,27,3,5.533,2.466274306,-0.353,0,76.2,41.4596875,19.99,950,316.816316,0,905.6,903.746875,901.5,24.8,16.79289931,5.791,5.148,2.803517361,0
2001,118,4/28/2001,4,28,3,9.42,5.50759375,3.083,0,70.5,48.99753472,28.45,1008,310.7004375,0,904.7,903.1034722,901.1,24.37,17.110625,9.07,7.05,3.655784722,0.726
2001,119,4/29/2001,4,29,3,11.01,7.577215278,5.8,0,79.5,52.99916667,31.74,999,278.2993924,0,905.4,903.0763889,900.7,25.19,18.09614583,9.46,6.94,4.186628472,0.96
2001,120,4/30/2001,4,30,3,13.81,9.792565972,4.506,0,77.4,53.12024306,29.16,1063,262.9364167,0,903,900.5597222,897.5,28.33,20.2759375,14.31,8.02,3.151934028,0
2001,121,5/1/2001,5,1,3,13.17,6.706472222,-4.36,0,83.2,45.04246528,8.5,957,322.4688924,0,899.6,895.0701389,890.8,33.81,22.87423611,11.74,7.37,3.929267361,0.447
2001,122,5/2/2001,5,2,3,15.48,10.78925,1.6,0,90.9,54.82152778,13.94,1020,279.0850208,0,895.7,891.5809028,889,32.78,22.61746528,14.32,7.4,4.682572917,1.351
2001,123,5/3/2001,5,3,3,17.17,14.26482639,11.23,0,99.9,86.02017361,66.76,990,126.1666424,0,899.9,897.5204861,894.7,21.28,16.95503472,12.61,7.93,3.848694444,0.377
2001,124,5/4/2001,5,4,3,12.81,11.53079861,8.42,0,100,95.44930556,86.1,397.2,76.46763889,0,899.6,896.6482639,894.6,14.09,12.46506944,10.42,7.55,3.651895833,0
2001,125,5/5/2001,5,5,3,11.56,6.619083333,0.738,0,97.3,63.83145833,24.51,1088,289.0201007,0,898.6,894.7527778,891.8,22.31,14.91791667,7.87,7.7,3.119684028,0
2001,126,5/6/2001,5,6,3,10.5,6.803170139,3.2,0,84.1,52.91381944,24.46,1039,315.5180347,0,900.1,896.1506944,893.2,25.36,17.67975694,9.56,7.98,3.807677083,0
2001,127,5/7/2001,5,7,3,12.72,10.79631944,8.5,0,92.1,76.86461806,63.22,989,240.0906458,0,908.3,905.4857639,900.2,19.14,15.14319444,11.78,7.65,4.306305556,1.038
2001,128,5/8/2001,5,8,3,14.49,12.38722222,10.66,0.18,99.4,73.23229167,42.51,1127,277.0708576,0,909.5,907.1027778,903.8,24.54,17.90923611,12.49,3.538,1.878572917,0
2001,129,5/9/2001,5,9,3,14.75,11.90075,6.693,0,93.1,60.69621528,27.03,947,313.2160104,0,905.3,901.8045139,898.1,28.58,21.16784722,14.92,9.91,4.228458333,1.166
2001,130,5/10/2001,5,10,3,14.72,11.09687153,5.38,0,89.9,53.74479167,20.56,951,326.6343368,0,899.6,897.2545139,894.5,30.38,22.38371528,13.99,6.785,3.766388889,0
2001,131,5/11/2001,5,11,3,17.44,13.88677083,9.93,0,89.7,65.95375,34.23,992,270.9234271,0,905.8,901.2559028,897.1,27.2,21.23743056,16.12,6.918,2.612152778,0
2001,132,5/12/2001,5,12,3,17.02,15.17052083,11.79,0,99.4,82.9840625,60.11,1056,156.4436493,0,907.8,906.4204861,905.3,24.41,18.46555556,15.94,5.76,2.277916667,0
2001,133,5/13/2001,5,13,3,15.72,12.95034722,9.33,0,97.2,69.75277778,34.99,998,322.6101528,0,907.4,905.5197917,902.9,25.68,19.48270833,13.35,5.048,2.448225694,0
2001,134,5/14/2001,5,14,3,15.69,13.664375,10.09,0,91.7,66.7365625,33.07,991,305.8552639,0,903.9,901.7045139,898.5,27.84,20.97451389,15.16,6.205,3.853618056,1.772
2001,135,5/15/2001,5,15,3,14.73,11.67756944,7.91,0,88.8,54.58840278,23.88,955,330.4978125,0,899.7,895.7430556,892.5,30.94,23.10666667,15.45,7.23,3.358309028,0
2001,136,5/16/2001,5,16,3,13.42,10.52391667,6.295,0,74.5,43.50954861,18.37,955,324.1508125,0,893.2,891.3815972,889.7,34.21,25.54305556,15.45,3.658,1.767326389,0.016
2001,137,5/17/2001,5,17,3,19.13,16.62079861,10.75,0.03,95.6,66.77569444,45.03,974,290.1967535,0,896.9,893.44375,890.8,29.62,23.70645833,16.09,11.01,3.945975694,0
2001,138,5/18/2001,5,18,3,15.83,13.36326389,11.71,0,98.5,64.57777778,34.71,946,332.4344479,0,899,897.1850694,894.6,29.79,21.33642361,12.41,8.89,2.234840278,0
2001,139,5/19/2001,5,19,3,19.52,14.43569444,7.26,0,96.7,69.88302083,27.83,1008,181.8245417,0,898.2,896.5274306,893.8,29.24,21.71694444,14.62,7.45,3.642836806,0.701
2001,140,5/20/2001,5,20,3,14.37,12.42965278,9.83,0.31,100,66.04520833,34.42,1008,292.362375,0,894.4,890.2055556,887.9,27.36,20.17618056,13.03,8.47,3.292493056,0
2001,141,5/21/2001,5,21,3,11.29,1.897986111,-2.977,0,82.6,54.19770833,26.16,984,306.2497431,0,904.6,901.0520833,888.6,18.84,11.87358681,6.833,12.63,5.915409722,0
2001,142,5/22/2001,5,22,3,5.5,1.540625,-1.917,0,88.9,44.42315972,16.57,986,346.6397743,0,905.5,903.0631944,900,25.19,16.05640625,5.075,6.658,2.16959375,0
2001,143,5/23/2001,5,23,3,9.85,3.929555556,-0.167,0.83,78.6,37.97493056,14.19,978,343.6863785,0,900.6,898.5732639,895.2,30.4,20.8853125,9.42,5.92,1.817097222,0
2001,144,5/24/2001,5,24,3,9.11,5.022600694,1.561,0,65.51,39.36225694,20.67,971,336.3826979,0,902.5,899.8368056,897.3,25.93,20.16125,13.55,6.12,3.091972222,0
2001,145,5/25/2001,5,25,3,8.43,6.639197917,4.672,0,71.1,47.86520833,28.67,959,309.1122674,0,903.9,901.3920139,898,26.5,18.66732639,10.66,6.025,3.320885417,1.597
2001,146,5/26/2001,5,26,3,18.22,12.60524306,7.97,0.01,91,61.4678125,24.47,988,299.0179201,0,901.4,897.6611111,893.9,33.32,21.63350694,12.08,8.98,3.168972222,0.013
2001,147,5/27/2001,5,27,3,18.06,13.49489583,9.04,0,99.5,55.61989583,24.44,1004,323.9052917,0,898.1,893.9711806,889.4,32.95,24.97159722,17.57,7.25,2.890729167,0
2001,148,5/28/2001,5,28,3,18.16,15.80746528,9.59,0,99.7,89.78194444,42.69,478.1,106.6910556,0,897.7,895.4,890.4,24.09,17.81652778,14.89,7.2,4.668697917,3.37
2001,149,5/29/2001,5,29,3,19.74,17.15954861,7.61,0.4,96.7,74.61104167,22.75,965,226.0635556,0,897.9,894.3246528,890.3,31.4,22.76125,16.75,8.37,4.326986111,0
2001,150,5/30/2001,5,30,3,17.25,12.99274306,9.22,0,95.5,61.79402778,26.8,960,331.5351563,0,903.8,898.0326389,894.8,30.5,22.081875,12.63,8.7,3.479711806,0
2001,151,5/31/2001,5,31,3,14.6,11.98875,9.67,0,88.9,61.01413194,34.5,1023,315.2994028,0,902.1,900.3454861,898.2,26.87,20.62708333,13.48,5.618,2.585927083,0.311
2001,152,6/1/2001,6,1,3,18.68,15.2265625,11.59,0.31,98,75.20572917,49.75,1051,232.928809,0,902.3,897.7315972,894.2,26.9,20.09857639,13.78,8.48,3.545114583,1.262
2001,153,6/2/2001,6,2,3,18.53,16.80458333,15.01,0,95.5,68.4825,40.04,960,338.0139931,0,895.5,893.2125,890.2,30.62,23.7375,16.08,6.198,3.174003472,0
2001,154,6/3/2001,6,3,3,17.57,6.048940972,-3.179,0,80.5,34.78961806,8.38,996,352.1656424,0,890.2,887.7802083,885.2,35.5,27.54736111,19.32,9.04,3.997510417,0.157
2001,155,6/4/2001,6,4,3,17.72,9.099256944,-0.044,0.42,77.5,36.37666667,12.29,962,323.7512674,0,892.1,889.09375,886.9,35.58,27.99631944,21.08,8.65,4.396715278,1.137
2001,156,6/5/2001,6,5,3,17.9,14.48846528,5.614,0,85.3,53.88777778,24.1,970,342.4072708,0,896.3,894.1083333,891.9,31.44,25.72729167,20.17,8.01,4.078197917,1.033
2001,157,6/6/2001,6,6,3,18.77,17.60399306,16.02,0,95.5,70.09958333,43.7,1053,277.3106597,0,900.5,898.1784722,896.1,30.03,23.94135417,18.75,5.64,3.546777778,0.448
2001,158,6/7/2001,6,7,3,18.13,16.34746528,14.24,0.01,93.7,66.3728125,39.84,1065,311.1054444,0,903.9,901.7819444,900.3,29.31,23.65725694,17.36,5.365,2.544989583,0
2001,159,6/8/2001,6,8,3,16.35,14.23909722,12.84,0,78.1,57.02791667,36.07,1106,301.9732257,0,905,902.6326389,900.1,29.38,23.77034722,17.75,6.928,2.634791667,0
2001,160,6/9/2001,6,9,3,15.63,12.83791667,9.2,0,80.9,48.86239583,24.94,1066,305.0674236,0,902.7,900.6423611,897.8,31.59,25.33649306,18.57,4.58,2.227729167,0
2001,161,6/10/2001,6,10,3,14.74,11.46297569,6.492,0.03,83.5,43.40041667,17.35,959,334.1709306,0,900,897.7371528,895.1,35.37,26.96642361,16.86,6.828,3.254260417,0
2001,162,6/11/2001,6,11,3,13.14,11.86493056,9.55,0,64.97,38.77791667,19.2,947,331.3562118,0,896.9,895.0309028,892.6,36.7,28.51628472,19.13,6.795,4.119201389,0.901
2001,163,6/12/2001,6,12,3,13.57,7.182878472,-0.699,0,59.5,29.62940972,8.52,1027,296.5508611,0,893.6,890.3381944,887.4,38.51,29.22364583,20.9,10.63,4.143975694,1.114
2001,164,6/13/2001,6,13,3,14.23,5.292395833,-3.855,0,53.55,26.3065625,7.87,959,334.1529757,0,890.5,888.0368056,885.2,36.41,28.94979167,20.65,10.1,4.872652778,0.23
2001,165,6/14/2001,6,14,3,17.02,4.745881944,-5.947,0,63.5,35.18583333,9.98,980,346.8993021,0,899.2,894.3569444,888.5,29.34,22.71166667,12.73,6.898,3.643173611,0
