,,,,,,Dewpoint (degree C)                    ,,,Rainfall (Inches),Relativehumidity (%)             ,,,Solarradiation (W/m^2)                ,,,"Stationpressure (mb, hpa)              ",,,temperature_2  (Degree C)               ,,,windspeed_2 (m/sec)                  ,,,,,600
2001,101,4/11/2001,4,11,130,0.301,-6.546052083,-9.65,0,60.98,29.67899306,12.23,925,295.239066,0,889.8,882.9420139,879.9,20.96,12.06785764,4.532,14.44,8.604451389,1.28,1050,2055,
2001,102,4/12/2001,4,12,130,3.756,-1.060579861,-8.38,0,87.4,49.19204861,13.1,909,271.6723576,0,893.6,891.4670139,889.3,21.17,11.04313542,1.6,7.98,3.075100694,0,1740,2135,
2001,103,4/13/2001,4,13,130,11.64,1.276670139,-5.725,0,100,53.84510417,13.23,960,299.0457431,0,896.2,893.9663194,892.2,24.62,13.89344097,0.718,5.065,2.386861111,0,1250,410,
2001,104,4/14/2001,4,14,130,16.69,6.735413194,-5.378,0.01,100,53.79586806,10.07,933,271.6889583,0,893.4,889.9215278,886.5,29.45,20.19253472,11.89,8.44,3.637333333,0.782,1610,2050,
2001,105,4/15/2001,4,15,130,7.38,1.841614583,-6.674,0,85,44.6303125,23.67,917,297.5043507,0,897.3,894.7569444,890,22.53,14.98927778,5.233,7.95,4.071701389,1.035,950,445,
2001,106,4/16/2001,4,16,130,11.92,6.668878472,1.597,0,91.7,67.07190972,46.85,1110,223.5396771,0,904,897.740625,895.6,22.37,13.11769792,5.68,10.41,4.313270833,0,2015,625,
2001,107,4/17/2001,4,17,130,1.831,-3.2819375,-6.719,0,84.8,52.57788194,34.63,438.1,98.53461458,0,908.7,906.1694444,904,8.63,6.211270833,3.847,8.65,3.977434028,0.882,105,1745,
2001,108,4/18/2001,4,18,130,9.41,2.611,-6.263,0,74,50.75760417,39.06,991,244.6184236,0,904.7,898.0368056,891.2,20.9,12.67644444,6.478,7.32,4.523079861,1.545,1515,200,
2001,109,4/19/2001,4,19,130,10.02,5.3308125,0.68,0,87.2,47.12079861,15,955,249.7855764,0,891.2,888.4579861,886.1,30.91,20.335,9.82,10.87,5.698763889,1.082,1230,2130,
2001,110,4/20/2001,4,20,130,14.81,4.964024306,-2.891,0,97,46.27652778,13.44,919,214.722,0,889.2,887.2298611,884.1,29.17,20.24795139,9.72,10.92,4.519788194,0.255,1755,525,
2001,111,4/21/2001,4,21,130,16.5,9.473222222,-1.217,0,94,57.16152778,14.8,950,286.0006806,0,890.8,887.6458333,883.8,30.15,20.92878472,10.01,12.81,5.745854167,0,1805,545,
2001,112,4/22/2001,4,22,130,16.47,1.268947917,-10.52,0,93.3,44.11253472,13.34,953,298.6522257,0,892.8,886.4184028,882.3,21,16.83540972,6.748,14.94,8.234840278,1.707,1130,2355,
2001,113,4/23/2001,4,23,130,-0.079,-1.656239583,-3.271,0.03,71.1,43.7825,23.93,944,311.4007118,0,901.4,898.7416667,892.9,19.14,10.97430556,2.793,6.68,3.096284722,0.756,925,1730,
2001,114,4/24/2001,4,24,130,2.818,-0.190222222,-2.864,0,78.7,43.34295139,20.55,932,309.7653021,0,904.1,902.0631944,900,22.07,13.43170486,2.622,5.218,2.536482639,0,2235,445,
2001,115,4/25/2001,4,25,130,2.445,0.334034722,-2.044,0,77.5,40.89041667,17.63,936,312.1010347,0,902.8,900.7517361,898.1,24.77,15.29161458,4.308,5.415,2.972236111,0.663,1520,610,
2001,116,4/26/2001,4,26,130,4.11,0.929756944,-2.069,0,72.4,39.5403125,16.49,939,314.0393403,0,899.9,897.7819444,895,25.32,16.423875,5.86,7.48,3.62496875,1.287,1230,310,
2001,117,4/27/2001,4,27,130,6.867,3.265256944,-0.715,0,84.7,47.83920139,18.57,934,311.9207882,0,898.8,896.8267361,894.5,24.73,15.80171528,5.827,5.773,2.97228125,0.34,1325,610,
2001,118,4/28/2001,4,28,130,9.75,5.703076389,3.256,0,86.4,52.60590278,28.19,944,306.8090972,0,897.7,896.0697917,893.9,24.4,16.45309028,6.215,7.51,4.244333333,0.945,1720,530,
2001,119,4/29/2001,4,29,130,12.21,7.921236111,5.863,0,79,54.03638889,29.58,988,268.9272188,0,898.4,896.0430556,893.7,25.62,18.10434028,10.21,8.46,5.389888889,1.64,1700,505,
2001,120,4/30/2001,4,30,130,12.21,9.927131944,5.783,0,86.7,53.85322917,22.68,932,298.3243299,0,895.9,893.6121528,890.7,29.64,20.64166667,12.86,6.69,2.920875,0,1920,345,
2001,121,5/1/2001,5,1,130,12.48,5.34346875,-3.214,0,95.3,45.81413194,10.22,936,318.416191,0,893.1,888.3878472,884.2,33.4,21.56128472,9.59,7.51,3.512284722,0.073,1520,510,
2001,122,5/2/2001,5,2,130,13.38,9.965545139,2.051,0,85.9,52.05774306,15.38,961,274.467309,0,888.3,884.9444444,882.9,31.84,22.45263889,14.63,9.19,4.917118056,1.657,2110,610,
2001,123,5/3/2001,5,3,130,17.25,13.79444444,11.02,0,100,84.74746528,53.45,979,141.3758229,0,893,890.3020833,888,24,16.73631944,12.21,10.56,5.036493056,1.665,1110,100,
2001,124,5/4/2001,5,4,130,14.26,12.02375,8.78,0,100,96.98506944,87.2,554.5,82.60989583,0,891.4,889.6135417,888,14.64,12.7065625,10.21,7.74,4.866243056,0.945,1455,15,
2001,125,5/5/2001,5,5,130,11.83,5.85975,-2.984,0,100,64.02215278,18.34,1122,306.8447639,0,891.7,888.0409722,885,22.53,14.47972222,6.579,9.58,3.535739583,0,1600,305,
2001,126,5/6/2001,5,6,130,11.77,6.225569444,1.832,0,90.6,55.29659722,22.21,957,324.8864896,0,893.3,889.6107639,886.8,25.09,16.794375,7.04,8.51,3.881076389,1.14,1405,200,
2001,127,5/7/2001,5,7,130,12.64,11.12125,9.68,0,98.6,80.88083333,62.51,1021,205.5146493,0,901.3,898.6434028,893.3,19.15,14.61520833,10.57,9.3,4.492454861,1.1,930,2325,
2001,128,5/8/2001,5,8,130,14.24,12.59673611,10.83,0,98.6,77.18295139,41.99,1093,236.1765972,0,902.8,900.3111111,896.9,24.1,17.18722222,11.81,4.46,1.930239583,0.039,2255,615,
2001,129,5/9/2001,5,9,130,14.95,12.10190972,6.93,0,99.9,64.55118056,29.73,1006,304.1164236,0,898.4,895.0913194,891.3,28.37,20.24440972,13.08,10.79,4.24296875,0.862,2000,2110,
2001,130,5/10/2001,5,10,130,15.54,11.66136806,5.918,0,98.9,59.6803125,21.08,934,320.2940208,0,893,890.6059028,887.8,30.48,21.27114583,11.82,5.868,3.159875,0.536,900,515,
2001,131,5/11/2001,5,11,130,17.05,12.97416667,8.77,0,94.3,64.34607639,31.3,929,275.4006042,0,899,894.4388889,890.7,28.18,20.94197917,15.16,10.46,3.172152778,0,1815,105,
2001,132,5/12/2001,5,12,130,17.09,14.7153125,11.05,0,100,84.02354167,44.57,1097,184.5980694,0,901,899.5041667,897.8,24.81,17.81965278,14.11,6.735,3.160510417,0,1550,2330,
2001,133,5/13/2001,5,13,130,15.89,13.09295139,9.85,0.02,100,72.38954861,36.9,958,313.1743438,0,900.7,898.7017361,896.1,25.77,19.0065625,11.05,5.333,2.632503472,0,1425,0,
2001,134,5/14/2001,5,14,130,16.27,14.04590278,12.4,0,99.7,72.00711806,40.69,986,260.6716007,0,897.2,894.9760417,892,27.14,19.8240625,12.95,6.59,3.553538194,0.284,1435,455,
2001,135,5/15/2001,5,15,130,15.65,12.45493056,9.06,0,95.7,58.4584375,25.52,935,320.9820139,0,893.1,889.1552083,886,31.22,22.59253472,14.23,6.46,3.051170139,0,1050,2035,
2001,136,5/16/2001,5,16,130,16.01,10.616875,7.66,0,85,46.95791667,20.9,936,308.5440417,0,886.7,884.9979167,883.2,33.85,24.35388889,12.67,3.958,1.880256944,0,720,1920,
2001,137,5/17/2001,5,17,130,19.17,16.10784028,6.878,0.82,92.4,67.77395833,31.22,1011,272.4108854,0,889.7,886.8399306,884.4,29.99,23.04138889,15.28,12.03,4.077618056,0,2325,120,
2001,138,5/18/2001,5,18,130,15.49,13.26434028,9.83,0,100,65.8915625,27.71,933,324.2482882,0,892.5,890.5142361,888.1,30.42,21.04121528,11.8,10.86,2.43246875,0,5,415,
2001,139,5/19/2001,5,19,130,19.53,14.56541667,8.43,0.08,97.7,71.66131944,30.75,755,172.0697188,0,891.4,889.7798611,886.7,27.36,21.17020833,14.53,11.66,3.8270625,0.094,1940,510,
2001,140,5/20/2001,5,20,130,15.28,12.23815972,9.6,0,100,68.78586806,34.02,1008,303.4507118,0,888,883.8246528,881.6,27.01,19.25267361,11.48,7.94,3.437850694,0,1125,1905,
2001,141,5/21/2001,5,21,130,11.14,1.4335,-2.827,0,82.8,53.27729167,25.51,965,312.504184,0,897.8,894.484375,882.3,17.46,11.64504514,6.554,14.8,6.814274306,0,100,2130,
2001,142,5/22/2001,5,22,130,5.095,1.426222222,-3.691,0,91.4,46.80854167,14.55,970,341.1553472,0,899.1,896.45,893.2,25.33,15.19439236,2.958,6.513,2.291333333,0,1215,140,
2001,143,5/23/2001,5,23,130,6.709,3.389666667,-0.305,0,84,38.42107639,13.91,962,335.7115799,0,893.9,891.9732639,888.9,30.69,20.50324306,6.842,4.938,1.932173611,0,825,1920,
2001,144,5/24/2001,5,24,130,9.07,5.107625,1.611,0,68.54,39.16458333,18.76,953,330.0634132,0,895.2,892.9934028,890.5,27.23,20.50871528,13.2,5.805,3.169486111,0.013,100,2325,
2001,145,5/25/2001,5,25,130,11.02,7.855489583,5.384,0,86.7,51.84100694,29.81,940,310.4176771,0,897.1,894.4756944,891.2,27.36,18.82819444,10.07,5.935,3.341434028,0,255,110,
2001,146,5/26/2001,5,26,130,17.9,13.06197917,10.71,0,96.8,63.85951389,26.46,953,322.7869306,0,894.2,890.7576389,886.7,33.15,21.62642361,11.65,9.07,3.1126875,0.295,2215,1655,
2001,147,5/27/2001,5,27,130,18.28,14.0184375,8.69,0,99.2,59.79138889,27.04,969,305.6676806,0,890.9,887.4885417,883.1,33.03,23.84746528,15.22,8.01,3.087215278,0,1035,445,
2001,148,5/28/2001,5,28,130,18.29,16.10170139,10.7,0,100,87.09857639,59.78,839,136.1533646,0,890.8,888.4454861,883.3,23.03,18.50923611,14.7,7.62,5.260402778,1.495,600,20,
2001,149,5/29/2001,5,29,130,19.99,15.59902431,0.616,0,99.7,70.57045139,13.59,976,217.4241354,0,890.3,887.4024306,884,31.9,23.10045139,17.13,8.82,4.333965278,0.107,955,1930,
2001,150,5/30/2001,5,30,130,17.05,12.31736111,7.37,0,97.9,61.2040625,21.77,944,321.6969097,0,895.7,891.2659722,888.5,31.64,21.97399306,11.93,12.12,4.10421875,0,2025,420,
2001,151,5/31/2001,5,31,130,14.1,11.87899306,9.45,0,91.8,59.69201389,31.54,1035,322.0008924,0,895.4,893.5850694,891.1,28.42,20.94767361,12.59,5.978,2.618069444,0.502,200,1600,
2001,152,6/1/2001,6,1,130,17.22,14.51805556,11.69,0,93.8,68.90694444,46.38,1093,245.2001979,0,894.3,890.8559028,887.5,27.62,20.7675,15.66,9.11,3.97940625,0.436,935,1805,
2001,153,6/2/2001,6,2,130,17,13.93423611,8.19,0,99,59.12246528,20.17,947,328.881691,0,888.7,886.3625,883.5,34.57,24.63875,14.09,7.46,3.711805556,0,1450,205,
2001,154,6/3/2001,6,3,130,14.62,5.573895833,-3.134,0,81.8,35.13732639,8.37,977,346.3502222,0,883.8,881.4427083,878.7,35.64,26.46826389,17.49,8.12,3.870802083,0.431,1110,1905,
2001,155,6/4/2001,6,4,130,14.86,5.940666667,0.477,0,79,32.65215278,12.63,964,325.900934,0,885.1,882.5381944,880.4,35.29,26.32649306,16.83,7.47,3.237940972,0.666,1455,2055,
2001,156,6/5/2001,6,5,130,18.14,12.67050347,5.329,0.17,80.9,49.46732639,18.05,958,336.6182292,0,889.4,887.5239583,885,33.14,25.71694444,20.32,8.82,4.178225694,0.048,40,1755,
2001,157,6/6/2001,6,6,130,18.45,16.92850694,14.98,0,98.7,65.29645833,36.95,1058,303.6802222,0,893.7,891.2826389,889.1,31.88,24.55618056,17.88,6.378,3.886420139,0.886,1650,1250,
2001,158,6/7/2001,6,7,130,17.85,15.46979167,12.9,0.04,94.7,63.51072917,33.49,997,277.1939549,0,897.6,895.0753472,893.3,30.44,23.7053125,16.31,5.748,2.835777778,0,1735,405,
2001,159,6/8/2001,6,8,130,16.04,13.57777778,11.73,0.07,80.6,55.56274306,32.72,1108,277.7696979,0,898.7,896.0267361,893.3,30.34,23.61385417,17.65,7.63,2.86025,0.035,145,1005,
2001,160,6/9/2001,6,9,130,15.74,12.83868056,8.7,0.01,91.4,52.35086806,22.84,1024,294.9147257,0,896.5,894.0454861,891.1,32.65,24.66267361,16.58,4.673,1.900989583,0,2145,430,
2001,161,6/10/2001,6,10,130,14.83,10.93413194,7.36,0.01,84.4,42.53625,16.9,934,331.1689931,0,893.4,891.0114583,888.2,36.24,26.94236111,15.05,6.848,3.49409375,0,1950,305,
2001,162,6/11/2001,6,11,130,12.68,10.26553125,5.457,0,69.46,36.36326389,13.18,940,326.2037604,0,890.3,888.240625,885.7,38.41,28.67440972,17.77,7.55,4.498149306,1.93,1505,605,
2001,163,6/12/2001,6,12,130,13.09,6.916295139,0.036,0,67.18,30.00993056,9.07,1015,304.0009722,0,887,883.9493056,881.3,38.23,28.63336806,17.96,9.36,4.316628472,1.93,1520,620,
2001,164,6/13/2001,6,13,130,11.72,4.281545139,-3.761,0,49.97,25.62215278,8.07,948,331.1361875,0,884,881.4583333,878.8,36.2,28.17288194,20.11,8.71,4.862611111,1.29,1515,2125,
2001,165,6/14/2001,6,14,130,17.36,4.493201389,-5.632,0,70.4,37.32347222,9.84,971,343.0603958,0,892.7,888.0097222,882,29.15,21.640625,11.88,7.16,3.681833333,0,1720,2140,
2001,166,6/15/2001,6,15,130,11.76,5.624965278,-0.053,0,69.93,37.39579861,13.03,961,340.7505035,0,898.1,895.4375,892.6,32.95,23.02770833,10.72,7.58,3.433746528,0.019,910,10,
2001,167,6/16/2001,6,16,130,15.96,10.07911806,4.571,0,82.5,41.80385417,15.67,1006,304.8128611,0,899.4,897.478125,895.7,34.41,25.91125,15.88,7.33,3.846309028,0.98,1240,410,
2001,168,6/17/2001,6,17,130,14.21,10.26235069,6.251,0,79.7,42.02121528,18.49,944,333.0538576,0,900.3,897.8940972,895.1,33.74,25.5871875,14.18,7.14,3.369753472,0,1225,335,
2001,169,6/18/2001,6,18,130,13.06,9.992395833,7.29,0,82.7,41.93083333,18.99,943,328.428816,0,896.4,894.0201389,891.2,34.48,25.78701389,14.52,7.87,3.609555556,0.048,1455,325,
2001,170,6/19/2001,6,19,130,13.34,10.9746875,8.16,0,76.9,41.81256944,19.73,1066,293.8080069,0,896.5,894.4694444,892.4,34.3,26.24822917,15.75,7.5,3.907451389,0.88,1805,405,
2001,171,6/20/2001,6,20,130,13.46,10.94569444,8.02,0,85,44.42625,20.23,966,312.6517396,0,899.7,896.9635417,894.1,34.04,25.46034722,15.33,10.58,3.399885417,0.004,2215,2150,
2001,172,6/21/2001,6,21,130,15.87,12.72197917,9.68,0,81,52.59319444,31.45,1005,311.8129583,0,901.4,899.2121528,897.4,29.05,23.45666667,17.61,8.15,3.961381944,0,10,435,
2001,173,6/22/2001,6,22,130,14.54,11.69472222,7.29,0,81.3,50.12694444,30.62,1032,285.6492847,0,900.9,897.2645833,893.3,31.4,23.42166667,14.38,6.13,3.404260417,0,2325,515,
2001,174,6/23/2001,6,23,130,18.57,14.43552083,7.1,0,86.9,55.42135417,31.84,919,311.4102535,0,898.2,894.9600694,892.5,31.93,24.68913194,16.95,7.62,4.757322917,0,925,545,
2001,175,6/24/2001,6,24,130,17.87,15.03986111,10.42,0,95.3,56.07291667,22.17,926,302.1859479,0,896.1,894.5569444,892.2,35.22,26.28329861,18.09,8.61,4.567378472,1.735,1940,505,
2001,176,6/25/2001,6,25,130,15.75,12.92194444,9.13,0,85.5,46.74041667,21.93,968,317.0574618,0,896.6,895.0065972,892.8,34.15,26.5096875,17.59,8.38,4.187489583,0.872,1815,555,
2001,177,6/26/2001,6,26,130,16.15,11.38496528,7.83,0,77.7,45.26086806,21.05,986,316.924684,0,897.8,896.2291667,894.7,32.91,25.40590278,16.81,7.62,3.927975694,1.557,1330,2110,
2001,178,6/27/2001,6,27,130,13.75,9.402822917,4.263,0.06,80.1,39.90083333,16.54,1025,303.7064861,0,899.8,897.9347222,896.2,33.54,25.85340278,16.1,6.465,2.846378472,0.158,1510,640,
2001,179,6/28/2001,6,28,130,17.66,9.976736111,5.986,0,95.6,40.24215278,18.51,986,278.8982639,0,898.1,895.8625,892.4,34.39,26.03809028,18.63,11.6,3.88396875,0,2140,2355,
2001,180,6/29/2001,6,29,130,18.4,15.1487108,10.64,0,97.5,58.35609756,23.86,952,324.9417526,0,896.7,892.7449477,890.3,34.05,25.58010453,17.53,6.068,2.032268293,0,45,0,
2001,181,6/30/2001,6,30,130,16.7,13.89087413,9.64,0.01,84.2,49.25965035,22.35,924,306.3839895,0,895.5,893.3755245,886.7,34.4,27.00160839,18.72,5.89,2.623702797,0,1650,135,
2001,182,7/1/2001,7,1,130,19.88,16.33638889,12.9,0,100,63.8096875,32.72,995,293.871191,0,897.3,895.8923611,894.3,31.35,24.77743056,18.12,5.67,2.647850694,0,1710,530,
2001,183,7/2/2001,7,2,130,17.38,14.79409722,11.29,0,92.6,59.98555556,30.91,1036,301.8739063,0,898.8,897.4215278,895.8,30.88,23.93652778,16.55,5.828,2.494489583,0,2100,245,
2001,184,7/3/2001,7,3,130,16.26,13.15670139,9.72,0,96.5,56.62447917,25.62,928,329.2179097,0,900,898.4076389,896.5,32,23.89277778,15.5,5.798,2.791913194,0.261,1240,445,
2001,185,7/4/2001,7,4,130,15.1,12.14635417,9,0,86.2,48.97454861,21.62,1044,326.0677813,0,900.2,898.5260417,896.9,33.62,25.25972222,15.19,4.343,1.957652778,0,825,2005,
2001,186,7/5/2001,7,5,130,15.66,12.38274306,7.63,0,84.5,48.3409375,20.44,1060,264.8565417,0,898.7,896.5385417,893.8,33.98,25.58798611,15.97,5.413,2.10190625,0,1300,1920,
2001,187,7/6/2001,7,6,130,15.5,12.64607639,9.75,1.11,81.4,44.81704861,21.36,1009,320.5674861,0,897.1,895.1166667,892.8,35.6,27.19958333,17.34,6.115,2.841315972,0,1320,500,
2001,188,7/7/2001,7,7,130,15.23,11.72388889,8.23,0,79.7,41.84694444,18.18,936,324.1717708,0,896.4,894.6288194,892.7,36.03,27.62013889,17.45,5.913,2.920753472,0.421,1700,410,
2001,189,7/8/2001,7,8,130,13.75,10.72527778,7,0,70.9,38.73121528,16.5,923,324.9330556,0,896.1,894.346875,892.2,36.04,27.56805556,18.11,6.323,2.991118056,0.232,1140,2315,
2001,190,7/9/2001,7,9,130,14.03,10.89983681,6.903,0,79.8,40.69159722,17.81,937,322.4004826,0,895.6,894.0604167,892.1,35.18,26.88534722,16.9,5.865,2.467552083,0,1535,545,
2001,191,7/10/2001,7,10,130,13.56,10.27278472,6.81,0,74.8,37.89340278,16,939,324.861875,0,894.8,892.7482639,890.7,36.21,27.71645833,17.3,4.95,2.108215278,0.11,1435,50,
2001,192,7/11/2001,7,11,130,12.28,9.1594375,4.162,0,67.93,34.33069444,13.32,937,325.0912674,0,893.4,891.9677083,890.3,37.65,28.3303125,17.41,4.965,2.288479167,0.231,1635,0,
2001,193,7/12/2001,7,12,130,12.65,9.34846875,4.669,0,73.1,34.30864583,13.27,924,325.9847674,0,894.8,893.3996528,891.9,37.89,28.65347222,16.7,4.68,1.862350694,0.087,830,620,
2001,194,7/13/2001,7,13,130,19.75,16.1053125,11.14,0,78,54.25197917,31.42,891,267.8042951,0,897.5,895.6385417,893.4,35.52,26.61555556,18.68,7.02,2.803145833,0,1635,400,
2001,195,7/14/2001,7,14,130,19.71,17.46930556,12.15,0,89.1,61.04545139,24.07,988,275.4492153,0,897.6,894.1211806,890.2,35.36,26.54975694,20.44,6.863,3.17590625,1.067,1950,1105,
2001,196,7/15/2001,7,15,130,19.88,14.70690972,7.28,0.44,94.2,50.64524306,14.74,903,297.4809896,0,892.6,889.9611111,886.6,38.88,28.53940972,19.3,6.718,4.01746875,0.094,1225,2115,
2001,197,7/16/2001,7,16,130,17.67,12.99715278,8.08,0,78.8,42.17541667,15.95,903,304.3153403,0,892,890.6204861,888.2,38.84,29.38315972,20.4,6.393,3.132246528,0,1330,110,
2001,198,7/17/2001,7,17,130,15.95,13.36204861,10.89,0,77.8,40.25315972,20.59,917,308.893125,0,894.6,892.8982639,891.2,36.88,29.17347222,19.64,6.725,3.069420139,0,1645,415,
2001,199,7/18/2001,7,18,130,17.39,15.06329861,13.01,0.06,79.1,46.47371528,25.08,911,299.4020174,0,894.5,893.0086806,890.9,35.94,28.40607639,19.46,6.495,3.083958333,0,815,625,
2001,200,7/19/2001,7,19,130,16.8,14.4534375,11.58,0,73.1,46.44850694,23.13,995,276.7297917,0,894.9,893.2086806,891,35.75,27.96420139,21.3,5.975,3.070690972,0,1515,0,
2001,201,7/20/2001,7,20,130,18.97,15.15069444,11.63,0,89.8,53.65725694,23.39,1072,262.1290972,0,895,893.2652778,890.9,35.62,26.87916667,17.74,7.4,2.572944444,0,1915,55,
2001,202,7/21/2001,7,21,130,19.21,14.94982639,9.79,0.84,85.2,49.36798611,20.31,998,306.8516458,0,893.5,891.6409722,889.1,36.17,28.31670139,19.86,5.108,2.439465278,0.1,1300,2005,
2001,203,7/22/2001,7,22,130,14.94,11.20638889,8.31,0,72.8,37.42395833,16.99,956,315.7727639,0,891.8,890.4118056,888.5,37.14,28.84225694,18.44,5.24,2.693704861,0,850,610,
2001,204,7/23/2001,7,23,130,12.37,10.03076736,6.04,0,60.5,35.04770833,14.76,935,318.0967778,0,892.2,890.6690972,888.8,37.05,28.58996528,19.8,5.493,2.613548611,0,1220,530,
2001,205,7/24/2001,7,24,130,13.34,11.47472222,8.66,0.01,72.2,39.68010417,18.86,954,312.2576736,0,892.9,891.2461806,889.4,36.04,27.74628472,17.91,5.42,2.351357639,0.183,1405,700,
2001,206,7/25/2001,7,25,130,15.13,12.82541667,10.25,0,70.3,40.99152778,21.14,1034,301.766441,0,892.4,891.1381944,889.6,36.04,28.48052083,19.36,4.97,2.478427083,0,925,540,
2001,207,7/26/2001,7,26,130,16.05,13.95763889,11.84,0,80.6,45.98503472,24.69,1019,299.4200729,0,893.8,892.4586806,891.1,35.02,27.63638889,19.63,6.285,2.523458333,0,1815,355,
2001,208,7/27/2001,7,27,130,18.02,15.591875,13.48,1.08,79.3,53.30829861,29.57,1046,261.2044688,0,896.5,894.5368056,893,33.91,26.58434028,19.27,7.02,2.482152778,0,1610,420,
2001,209,7/28/2001,7,28,130,19.53,17.47770833,14.24,0,94.4,63.70260417,29.18,1039,252.1690903,0,897.6,895.9652778,894.3,34.46,25.665,19.21,6.413,2.049204861,0,1455,130,
2001,210,7/29/2001,7,29,130,18.19,15.40979167,12.2,0,89.8,51.44340278,22.92,1000,277.1995139,0,895.7,894.0534722,891.5,37.1,28.13975694,18.62,5.843,2.508354167,0,1640,445,
2001,211,7/30/2001,7,30,130,18.24,14.57392361,12.94,0.28,83,47.04729167,26.09,951,243.9578125,0,894.4,892.6392361,890.2,35.58,27.85645833,20.93,8.09,4.009767361,0.263,1045,10,
2001,212,7/31/2001,7,31,130,17.51,13.99114583,10.01,0,80.8,48.11496528,21.8,902,302.190559,0,896.1,893.925,892.6,35.34,27.18357639,18.9,7.61,3.988472222,0.446,1315,520,
2001,213,8/1/2001,8,1,130,15.48,13.219375,11.24,0,76.5,46.77045139,24.72,906,307.0534653,0,899.3,897.9986111,896.2,34.5,26.38194444,16.85,6.673,2.922409722,0,1610,545,
2001,214,8/2/2001,8,2,130,15.57,13.72652778,10.86,0.28,81.4,46.65284722,22.96,942,306.7753125,0,901.7,899.6729167,897.6,34.87,27.37920139,18.54,4.768,1.95290625,0,1330,315,
2001,215,8/3/2001,8,3,130,15.54,13.350625,9.59,0,80.6,48.24583333,26.97,949,297.1791076,0,899.6,897.7111111,894.9,33.39,26.15256944,18.44,5.43,2.347520833,0,1720,350,
2001,216,8/4/2001,8,4,130,13.91,10.82767361,7.77,0,71.7,43.27982639,21.17,917,311.2689549,0,896.9,895.2954861,893.1,33.46,25.41430556,16.58,5.305,2.429857639,0,1535,620,
2001,217,8/5/2001,8,5,130,12.83,10.5296875,7.36,0.01,66.38,39.58666667,18.31,909,308.6435833,0,898.1,896.6277778,895.4,35.09,26.7540625,17.67,5.3,2.135020833,0,1700,2110,
2001,218,8/6/2001,8,6,130,15.32,11.8759375,8.81,0,80.4,43.98350694,20.13,1044,271.9954792,0,899.8,898.2579861,896.5,35.37,26.72954861,17.15,6.2,1.447423611,0,1415,35,
2001,219,8/7/2001,8,7,130,17.54,13.23805556,8.99,0,83.4,54.39635417,25.38,924,207.7169653,0,900.8,898.3510417,896.1,31.63,23.941875,17.7,4.073,1.361475694,0,1110,255,
2001,220,8/8/2001,8,8,130,16.66,12.44135417,7.01,0,92.7,52.32430556,18.12,925,294.3566042,0,897.7,894.95,891.8,34.73,25.10381944,15.96,7.18,2.229868056,0,1810,20,
